CTRL1	CTRL2	CTRL3	CIP1	CIP2	CIP3	ID	TYPE	NAME	???	DESCRIPTION
1011	566	288	428	437	578	PA0066	CDS			hypothetical protein
26010	13854	9053	7351	7121	9863	PA0067	CDS	prlC		oligopeptidase A
6171	3142	4054	2421	2134	3156	PA0068	CDS			hypothetical protein
1141	621	301	455	395	554	PA0069	CDS			hypothetical protein
15093	7959	4268	6326	4206	9965	PA0070	CDS			hypothetical protein
6118	3147	2921	2680	2798	3353	PA0071	CDS			hypothetical protein
1173	705	379	427	381	653	PA0072	CDS			hypothetical protein
1136	623	294	377	377	627	PA0073	CDS			ABC transporter ATP-binding protein
4291	2316	1480	1595	1382	2494	PA0074	CDS	ppkA		serine/threonine protein kinase PpkA
949	492	269	381	367	577	PA0075	CDS	pppA		serine/threonine phosphatase
1354	730	314	488	412	791	PA0076	CDS			hypothetical protein
5015	2710	1516	2153	1834	3360	PA0077	CDS	icmF1		type VI secretion protein IcmF
1995	1148	620	916	685	1564	PA0078	CDS			hypothetical protein
2598	1463	552	682	580	1274	PA0079	CDS			hypothetical protein
1015	534	266	234	214	496	PA0080	CDS			hypothetical protein
7039	3846	2401	3245	2669	4842	PA0081	CDS	fha1		Fha domain-containing protein
3539	2118	1425	1250	1067	2307	PA0082	CDS			hypothetical protein
3565	1779	730	667	455	1920	PA0083	CDS			hypothetical protein
9218	4796	2189	2193	1539	5275	PA0084	CDS			hypothetical protein
5937	3762	2187	4565	3145	7353	PA0085	CDS	hcp1		protein secretion apparatus assembly protein
1682	998	488	737	601	1621	PA0086	CDS			hypothetical protein
599	351	183	201	149	536	PA0087	CDS			hypothetical protein
1357	815	424	729	534	1452	PA0088	CDS			hypothetical protein
766	382	277	420	321	788	PA0089	CDS			hypothetical protein
5005	2607	1281	2160	1709	4269	PA0090	CDS	clpV1		secretion protein ClpV1
2462.55	1326.4	673.337	1006.86	814.806	1947.01	PA0091	CDS	vgrG1		type VI secretion system protein VgrG
543	304	293	289	215	625	PA0092	CDS			hypothetical protein
1132	695	577	448	375	983	PA0093	CDS			hypothetical protein
870	515	564	310	338	570	PA0094	CDS			hypothetical protein
6769.61	4249.65	3211.12	4732.75	5011.43	5520.57	PA0095	CDS			hypothetical protein
313.247	187.626	99	135	108.19	221.239	PA0096	CDS			hypothetical protein
667.753	389.374	162	305	246.81	462.761	PA0097	CDS			hypothetical protein
49	30	15	21	29	44	PA0098	CDS		2.3.1.41	3-oxoacyl-ACP synthase
20	13	16	5	5	6	PA0099	CDS			hypothetical protein
39	19	11	4	5	7	PA0100	CDS			hypothetical protein
1063	633	273	904	752	855	PA0101	CDS			hypothetical protein
3987	2030	1591	2125	1716	2659	PA0102	CDS			carbonic anhydrase
353	223	93	206	235	263	PA0103	CDS			sulfate transporter
886	539	292	355	388	452	PA0103a	CDS			hypothetical protein
1695	896	772	6360	6890	5551	PA0105	CDS	coxB		cytochrome C oxidase subunit II
694	390	297	2452	2490	2109	PA0106	CDS	coxA		cytochrome C oxidase subunit I
141	75	72	427	493	378	PA0107	CDS			cytochrome C oxidase assembly protein
1442	676	694	3222	3403	2875	PA0108	CDS	coIII		cytochrome C oxidase subunit III
1076	507	488	1324	1371	1437	PA0109	CDS			hypothetical protein
166	114	62	528	606	455	PA0110	CDS			hypothetical protein
134	65	44	561	693	434	PA0111	CDS			hypothetical protein
186	120	66	436	407	353	PA0112	CDS			hypothetical protein
546	294	283	734	652	648	PA0113	CDS		2.5.1.-	protoheme IX farnesyltransferase
5217	2565	2754	645	662	910	PA0114	CDS	senC		cytochrome c oxidase assembly protein SenC
901	504	414	186	163	357	PA0115	CDS			hypothetical protein
976	493	353	476	449	687	PA0116	CDS			hypothetical protein
270	161	97	228	177	281	PA0117	CDS			short-chain dehydrogenase
198	96	75	253	195	316	PA0118	CDS			hypothetical protein
1291	697	620	926	779	1077	PA0119	CDS			C4-dicarboxylate transporter DctA
638	376	186	705	620	645	PA0120	CDS			transcriptional regulator
575	302	131	480	355	482	PA0121	CDS			hypothetical protein
2799	1709	1172	4069	4985	3896	PA0122	CDS			hypothetical protein
703	447	209	820	710	933	PA0123	CDS			transcriptional regulator
320	151	120	372	237	464	PA0124	CDS			hypothetical protein
272	140	117	242	185	340	PA0125	CDS			hypothetical protein
734	430	228	209	163	505	PA0126	CDS			hypothetical protein
598	324	264	318	369	350	PA0127	CDS			hypothetical protein
2432	1019	1782	780	1011	1265	PA0128	CDS			hypothetical protein
5952	2826	1551	1149	891	1310	PA0129	CDS	gabP		gamma-aminobutyrate permease
46654	24738	10304	3634	2874	4343	PA0130	CDS			3-oxopropanoate dehydrogenase
5000	2799	1148	509	403	537	PA0131	CDS			beta-alanine degradation protein BauB
45949	25617	14235	4015	3480	4011	PA0132	CDS		2.6.1.18	beta alanine--pyruvate transaminase
1624	897	669	1049	982	1048	PA0133	CDS			HTH-type transcriptional activator BauR
2494	1352	840	1730	1414	1672	PA0134	CDS			guanine deaminase
22	15	11	20	10	23	PA0135	CDS			hypothetical protein
332	150	103	200	206	237	PA0136	CDS			ABC transporter ATP-binding protein
214	115	71	114	93	121	PA0137	CDS			ABC transporter permease
460	223	136	273	219	269	PA0138	CDS			ABC transporter permease
36546	18100	16191	24514	19160	20463	PA0139	CDS	ahpC		alkyl hydroperoxide reductase
8634	4540	2080	2138	1677	2663	PA0140	CDS	ahpF		alkyl hydroperoxide reductase
29281	15323	6491	4307	4214	3905	PA0141	CDS			hypothetical protein
1339	799	522	487	401	597	PA0142	CDS		3.5.4.43	8-oxoguanine deaminase
1020	512	404	384	382	483	PA0143	CDS	nuh		nonspecific ribonucleoside hydrolase
285	168	91	218	153	180	PA0144	CDS			hypothetical protein
745	429	202	339	300	336	PA0145	CDS			hypothetical protein
346	166	120	143	138	166	PA0146	CDS			hypothetical protein
473	280	169	330	327	371	PA0147	CDS			oxidoreductase
2199	1175	934	869	825	938	PA0148	CDS		3.5.4.4	adenosine deaminase
287	158	74	138	118	248	PA0149	CDS			ECF subfamily sigma-70 factor
320	178	94	86	92	149	PA0150	CDS			transmembrane sensor
446	219	109	227	221	353	PA0151	CDS			TonB-dependent receptor
964	575	324	474	460	484	PA0152	CDS	pcaQ		transcriptional regulator PcaQ
565	329	128	243	228	287	PA0153	CDS	pcaH		protocatechuate 3,4-dioxygenase subunit beta
755	441	311	287	294	301	PA0154	CDS	pcaG		protocatechuate 3,4-dioxygenase subunit alpha
389	211	103	126	116	158	PA0155	CDS	pcaR		transcriptional regulator PcaR
1120	715	328	1062	910	1303	PA0156	CDS			resistance-nodulation-cell division (RND) efflux membrane fusion protein
1162	689	284	808	626	847	PA0157	CDS			resistance-nodulation-cell division (RND) efflux membrane fusion protein
4440	2537	1510	4514	3444	4276	PA0158	CDS			resistance-nodulation-cell division (RND) efflux transporter
929	604	406	830	754	925	PA0159	CDS			transcriptional regulator
314	189	189	288	183	295	PA0160	CDS			hypothetical protein
732	384	260	333	282	410	PA0162	CDS	opdC		histidine porin OpdC
831	456	267	235	305	367	PA0163	CDS			transcriptional regulator
899	559	398	313	324	413	PA0164	CDS			gamma-glutamyltranspeptidase
1053	608	388	286	241	491	PA0165	CDS			hypothetical protein
226	156	69	221	173	188	PA0166	CDS			transporter
1241	816	586	501	566	1048	PA0167	CDS			transcriptional regulator
477	256	170	248	189	372	PA0168	CDS			hypothetical protein
1027	678	297	618	448	866	PA0169	CDS			hypothetical protein
788	475	163	375	270	543	PA0170	CDS			hypothetical protein
972	474	257	410	277	651	PA0171	CDS			hypothetical protein
2155	1439	800	776	741	1305	PA0172	CDS			hypothetical protein
663	431	361	144	130	173	PA0173	CDS		3.1.1.61	chemotaxis response regulator protein-glutamate methylesterase
849	398	352	108	108	119	PA0174	CDS			hypothetical protein
3659	1865	1151	520	516	529	PA0175	CDS			chemotaxis protein methyltransferase
28212	14036	6902	3067	3233	3279	PA0176	CDS	aer2		aerotaxis transducer Aer2
4338	2100	1625	946	1046	1037	PA0177	CDS			purine-binding chemotaxis protein
14297	6621	3365	2503	3035	3193	PA0178	CDS			two-component sensor
16298	6866	4823	4614	4217	5904	PA0179	CDS			two-component response regulator
7668.39	3746.22	2553.15	1686.72	2185.19	2471.39	PA0180	CDS	cttP		trichloroethylene chemotactic transducer CttP
1486	846	529	885	822	860	PA0181	CDS			transcriptional regulator
290	158	62	150	139	173	PA0182	CDS		1.1.1.100	3-ketoacyl-ACP reductase
599	336	191	380	347	363	PA0183	CDS	atsA		arylsulfatase
164	94	40	86	74	96	PA0184	CDS			ABC transporter ATP-binding protein
214	123	64	156	149	186	PA0185	CDS			ABC transporter permease
365	179	147	237	189	226	PA0186	CDS			ABC transporter
191	80	83	123	98	141	PA0187	CDS			hypothetical protein
77	36	31	79	63	85	PA0188	CDS			hypothetical protein
188	135	67	184	157	145	PA0189	CDS			porin
175	102	69	74	64	83	PA0190	CDS			acid phosphatase
327	197	129	298	214	353	PA0191	CDS			transcriptional regulator
269	176	81	227	170	218	PA0192	CDS			TonB-dependent receptor
136	76	33	81	80	72	PA0193	CDS			hypothetical protein
403	263	115	222	192	183	PA0194	CDS			hypothetical protein
2065	1034	521	1881	1457	1698	PA0195	CDS	pntAA		NAD(P) transhydrogenase subunit alpha
279	132	102	213	197	217	PA0195.1	CDS	pntAB		NAD(P) transhydrogenase subunit alpha
1440	752	544	1283	1039	1171	PA0196	CDS	pntB		pyridine nucleotide transhydrogenase subunit beta
167	96	35	62	60	66	PA0197	CDS	tonB2		transporter TonB
430	240	153	230	241	248	PA0198	CDS	exbB1		transporter ExbB
841	345	239	607	520	485	PA0199	CDS	exbD1		biopolymer transport protein ExbD
2524	1137	817	2455	1817	1981	PA0200	CDS			hypothetical protein
848	500	424	480	526	536	PA0201	CDS			hypothetical protein
420	200	78	119	113	168	PA0202	CDS		3.5.1.4	amidase
195	92	45	46	42	67	PA0203	CDS			ABC transporter
96	54	14	20	22	23	PA0204	CDS			ABC transporter permease
113	45	24	19	27	29	PA0205	CDS			ABC transporter permease
126	44	21	34	35	40	PA0206	CDS			spermidine/putrescine ABC transporter ATP-binding protein
93	51	21	17	16	21	PA0207	CDS			transcriptional regulator
7474	4614	2152	4637	6208	4330	PA0208	CDS	mdcA		malonate decarboxylase subunit alpha
1458	902	338	631	933	749	PA0209	CDS		2.4.2.52	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
479	286	81	207	258	197	PA0210	CDS	mdcC		malonate decarboxylase acyl carrier protein
2513	1448	361	858	996	742	PA0211	CDS	mdcD		malonate decarboxylase subunit beta
1500	953	300	527	620	524	PA0212	CDS	mdcE		malonate decarboxylase subunit gamma
683	507	147	318	348	210	PA0213	CDS			phosphoribosyl-dephospho-CoA transferase
1466	875	412	774	746	820	PA0214	CDS			acyl transferase
809	422	259	383	305	421	PA0215	CDS			malonate transporter MadL
502	258	162	277	242	329	PA0216	CDS			malonate transporter MadM
590	378	213	259	246	335	PA0217	CDS			transcriptional regulator
439	227	164	280	284	308	PA0218	CDS			transcriptional regulator
191	88	49	116	83	135	PA0219	CDS			aldehyde dehydrogenase
308	192	117	306	288	308	PA0220	CDS			amino acid APC family transporter
199	130	60	110	101	118	PA0221	CDS			aminotransferase
146	63	87	86	69	129	PA0222	CDS			hypothetical protein
273	154	128	283	248	265	PA0223	CDS			dihydrodipicolinate synthetase
347	228	140	218	192	279	PA0224	CDS			class II aldolase/adducin domain-containing protein
709	437	381	254	244	418	PA0225	CDS			transcriptional regulator
427	248	124	85	89	129	PA0226	CDS			CoA transferase subunit A
321	195	47	128	114	158	PA0227	CDS			CoA transferase subunit B
585	394	163	319	282	368	PA0228	CDS	pcaF		beta-ketoadipyl CoA thiolase
430	195	195	321	314	451	PA0229	CDS	pcaT		dicarboxylic acid transporter PcaT
969	652	270	779	673	819	PA0230	CDS	pcaB	5.5.1.2	3-carboxy-cis,cis-muconate cycloisomerase
404	228	114	249	220	286	PA0231	CDS	pcaD		3-oxoadipate enol-lactonase
296	160	84	352	273	264	PA0232	CDS	pcaC		4-carboxymuconolactone decarboxylase
857	524	346	446	388	470	PA0233	CDS			transcriptional regulator
364	169	173	159	155	190	PA0234	CDS			hypothetical protein
136	62	29	91	75	128	PA0235	CDS	pcaK		4-hydroxybenzoate transporter PcaK
289	195	107	205	169	316	PA0236	CDS			transcriptional regulator
70	55	31	61	38	50	PA0237	CDS			oxidoreductase
288	185	98	360	302	403	PA0238	CDS			hypothetical protein
382	193	172	190	148	205	PA0239	CDS			hypothetical protein
353	226	156	350	310	276	PA0240	CDS			porin
158	76	41	117	105	125	PA0241	CDS			major facilitator superfamily transporter
269	188	74	183	178	212	PA0242	CDS			hypothetical protein
590	408	303	309	324	409	PA0243	CDS			transcriptional regulator
123	87	52	83	88	75	PA0244	CDS		1.1.1.25	shikimate 5-dehydrogenase
148	70	36	79	62	102	PA0245	CDS	aroQ2	4.2.1.10	3-dehydroquinate dehydratase
1064	563	340	398	455	525	PA0246	CDS			major facilitator superfamily transporter
239	126	77	143	131	187	PA0247	CDS	pobA	1.14.13.2	4-hydroxybenzoate 3-monooxygenase
310	189	131	226	220	264	PA0248	CDS			transcriptional regulator
512	287	164	448	445	435	PA0249	CDS			acetyltransferase
1980	1071	852	1503	1681	1679	PA0250	CDS			hypothetical protein
138	89	59	139	109	130	PA0251	CDS			hypothetical protein
67	53	41	26	32	44	PA0252	CDS			hypothetical protein
431	283	227	415	358	479	PA0253	CDS			transcriptional regulator
801	508	262	660	522	866	PA0254	CDS			hypothetical protein
860	536	278	413	356	558	PA0255	CDS			hypothetical protein
3295	1744	1953	2483	3074	2887	PA0256	CDS			hypothetical protein
1883	920	1541	969	798	1050	PA0257	CDS			hypothetical protein
1287	724	1045	423	476	595	PA0258	CDS			hypothetical protein
10437	5768	6700	3779	3311	4713	PA0259	CDS			hypothetical protein
4045	2334	2065	1223	1119	1627	PA0260	CDS			hypothetical protein
442	240	194	195	198	294	PA0261	CDS			hypothetical protein
1999.41	977.578	989.336	1008.49	834.939	1321.84	PA0262	CDS			hypothetical protein
15.1682	9.8997	17.5807	0	0	0	PA0263	CDS	hcpC		secreted protein Hcp
449	337	525	171	210	386	PA0263.1	tRNA			tRNA-Arg
36553	18841	6313	7626	7476	7789	PA0265	CDS	gabD	1.2.1.16	glutarate-semialdehyde dehydrogenase DavD
40413	20988	7069	8202	7406	7195	PA0266	CDS			5-aminovalerate aminotransferase DavT
713	565	196	236	251	288	PA0267	CDS			hypothetical protein
704	356	186	326	299	436	PA0268	CDS			transcriptional regulator
741	408	194	249	191	234	PA0269	CDS			hypothetical protein
678	357	129	190	187	179	PA0270	CDS			hypothetical protein
390	252	79	120	117	119	PA0271	CDS			hypothetical protein
627	365	221	201	201	253	PA0272	CDS			transcriptional regulator
80	61	25	51	51	71	PA0273	CDS			major facilitator superfamily transporter
261	158	110	60	87	79	PA0274	CDS			hypothetical protein
1254	588	526	635	625	840	PA0275	CDS			transcriptional regulator
461	206	127	260	189	270	PA0276	CDS			hypothetical protein
874	509	284	277	218	515	PA0277	CDS			hypothetical protein
243	154	72	568	453	483	PA0278	CDS			hypothetical protein
392	257	112	433	332	445	PA0279	CDS			transcriptional regulator
614	344	188	450	349	754	PA0280	CDS	cysA		sulfate.thiosulfate ABC transporter ATP-binding protein CysA
417	211	156	219	180	290	PA0281	CDS	cysW		sulfate transporter CysW
295	152	63	123	113	187	PA0282	CDS	cysT		sulfate transporter CysT
1533	765	278	400	336	581	PA0283	CDS	sbp		sulfate-binding protein
993	465	302	557	429	682	PA0284	CDS			hypothetical protein
2365	1232	990	821	759	1224	PA0285	CDS			hypothetical protein
20006	12407	8085	3953	4416	4673	PA0286	CDS	desA		delta-9 fatty acid desaturase DesA
449	236	143	127	117	179	PA0287	CDS	gpuP		3-guanidinopropionate transporter
197	130	57	60	62	73	PA0288	CDS	gpuA		guanidinopropionase
1037	602	337	534	495	635	PA0289	CDS	gpuR		transcriptional activator GpuR
2087	1225	822	1703	1713	1620	PA0290	CDS			hypothetical protein
21931	11709	6333	3934	3038	4612	PA0291	CDS	oprE		anaerobically-induced outer membrane porin OprE
3325	2002	903	929	928	1197	PA0292	CDS	aguA	3.5.3.12	agmatine deiminase
442	235	125	173	172	230	PA0293	CDS	aguB		N-carbamoylputrescine amidohydrolase
758	418	355	344	375	422	PA0294	CDS	aguR		transcriptional regulator AguR
2178	1266	670	594	536	624	PA0295	CDS			polyamine binding protein
18530.2	10547.5	7831.57	9957.55	9857.11	9716.57	PA0296	CDS	spuI		glutamine synthetase
13265	7535	7766	6616	6911	7079	PA0297	CDS	spuA		glutamine amidotransferase
26387	13244	6456	8003	8078	8222	PA0298	CDS	spuB		glutamine synthetase
47795	24805	8221	14800	13858	12536	PA0299	CDS	spuC		aminotransferase
24226	12406	6739	11133	10071	12317	PA0300	CDS	spuD		putrescine ABC transporter substrate-binding protein SpuD
6082	3169	1608	1950	1881	2245	PA0301	CDS	spuE		spermidine ABC transporter substrate-binding protein SpuE
4101	2104	1011	1567	1490	1919	PA0302	CDS	spuF		polyamine transporter PotG
2081	1071	916	1272	1070	1389	PA0303	CDS	spuG		polyamine transporter PotH
2188	1239	994	2254	1761	1955	PA0304	CDS	spuH		polyamine transporter PotI
2059	1088	569	654	614	815	PA0305	CDS			hypothetical protein
2053	1075	548	410	378	452	PA0306	CDS			transcriptional regulator
12984	5747	6593	5220	4265	4606	PA0306a	CDS			transcriptional regulator
2761	1642	1447	458	473	723	PA0307	CDS			hypothetical protein
1113	746	549	389	418	670	PA0308	CDS			hypothetical protein
1841	1154	710	640	679	1037	PA0309	CDS			hypothetical protein
2201	1103	1231	1035	958	1229	PA0310	CDS			hypothetical protein
321	161	95	60	59	73	PA0311	CDS			hypothetical protein
1689	1044	678	1121	1233	1475	PA0312	CDS			hypothetical protein
1501	995	483	798	703	851	PA0313	CDS			L-cysteine ABC transporter protein YecS
2744	1642	867	1027	1064	1423	PA0314	CDS			L-cysteine ABC transporter protein FliY
2875	1461	1527	3448	3094	5954	PA0315	CDS			hypothetical protein
14634	8070	5217	3463	3067	5094	PA0316	CDS	serA		D-3-phosphoglycerate dehydrogenase
9351	5458	4819	2539	2355	3826	PA0317	CDS			hypothetical protein
4897	2625	1615	3922	2798	3591	PA0318	CDS			hypothetical protein
2572	1478	1195	991	932	1511	PA0319	CDS			hypothetical protein
1493	721	698	965	827	1136	PA0320	CDS			hypothetical protein
388	208	93	265	239	331	PA0321	CDS			acetylpolyamine aminohydrolase
571	319	207	361	302	414	PA0322	CDS			transporter
342	203	141	199	194	228	PA0323	CDS			ABC transporter
252	155	91	146	124	128	PA0324	CDS			ABC transporter permease
555	320	282	399	395	400	PA0325	CDS			ABC transporter permease
181	121	91	117	113	109	PA0326	CDS			ABC transporter ATP-binding protein
1031	677	337	580	536	652	PA0327	CDS			hypothetical protein
2072	1245	446	956	746	1303	PA0328	CDS			hypothetical protein
20073	7214	11361	20875	16618	20950	PA0329	CDS			hypothetical protein
5036	2825	1713	945	1043	1579	PA0330	CDS	rpiA	5.3.1.6	ribose-5-phosphate isomerase A
4298	2572	1179	1044	1053	1591	PA0331	CDS	ilvA1	4.3.1.19	threonine dehydratase
3270	1725	1263	1772	1966	2866	PA0332	CDS			hypothetical protein
2628	1498	799	1414	1150	2079	PA0333	CDS			hypothetical protein
1611	1028	657	785	708	842	PA0334	CDS			major facilitator superfamily transporter
2081	1327	723	543	491	674	PA0335	CDS			hypothetical protein
10992	5674	5296	4519	4704	6244	PA0336	CDS	ygdP	3.6.1.-	RNA pyrophosphohydrolase
26351	15233	9577	10925	9888	12061	PA0337	CDS	ptsP		phosphoenolpyruvate-protein phosphotransferase PtsP
2493	1697	1304	1624	1509	1999	PA0338	CDS			hypothetical protein
880	536	314	569	445	506	PA0339	CDS			hypothetical protein
597	347	253	262	251	364	PA0340	CDS			hypothetical protein
2040	1328	765	908	760	1274	PA0341	CDS	lgt	2.4.99.-	prolipoprotein diacylglyceryl transferase
5467	2847	2380	1580	1531	2237	PA0342	CDS	thyA	2.1.1.45	thymidylate synthase
2557	1521	1077	1264	1062	1296	PA0343	CDS			hypothetical protein
1459	835	430	1192	936	1370	PA0344	CDS			hypothetical protein
1707	1091	487	1286	1257	1720	PA0345	CDS			hypothetical protein
461	315	259	421	345	322	PA0346	CDS			hypothetical protein
577	382	141	303	280	312	PA0347	CDS	glpQ		glycerophosphoryl diester phosphodiesterase
351	194	125	361	314	265	PA0348	CDS			hypothetical protein
323	163	135	204	198	244	PA0349	CDS			hypothetical protein
720	462	251	364	312	585	PA0350	CDS	folA		dihydrofolate reductase
1189	645	445	485	487	545	PA0351	CDS			hypothetical protein
1456	909	399	469	342	635	PA0352	CDS			transporter
12513	6461	3072	2858	2707	3234	PA0353	CDS	ilvD	4.2.1.9	dihydroxy-acid dehydratase
3231	1911	860	813	755	1089	PA0354	CDS			hypothetical protein
7092	2447	2721	13742	9397	13669	PA0355	CDS	pfpI		protease PfpI
2097	1257	1118	605	725	960	PA0356	CDS			hypothetical protein
3659	2311	1449	982	1203	1996	PA0357	CDS	mutM	3.2.2.23	formamidopyrimidine-DNA glycosylase
1174	595	513	358	365	547	PA0358	CDS			hypothetical protein
8009	2768	3369	3186	3103	4121	PA0359	CDS			hypothetical protein
2631	1521	1195	1052	1091	1307	PA0360	CDS			hypothetical protein
3343	1913	1107	1377	1285	1675	PA0361	CDS			gamma-glutamyltranspeptidase
5216	2203	3114	2294	2097	3122	PA0362	CDS	fdx1		4Fe-4S ferredoxin
2007	1338	1229	773	712	1629	PA0363	CDS	coaD	2.7.7.3	phosphopantetheine adenylyltransferase
795	459	276	659	521	1141	PA0364	CDS			oxidoreductase
503	232	192	236	178	450	PA0365	CDS			hypothetical protein
2638	1473	833	769	682	1707	PA0366	CDS			coniferyl aldehyde dehydrogenase
2218	1168	967	656	631	1185	PA0367	CDS			transcriptional regulator
1087	619	411	754	515	734	PA0367a	CDS			acetyltransferase
1243	724	448	667	664	641	PA0368	CDS			hypothetical protein
1082	638	250	411	276	403	PA0370	CDS			hypothetical protein
3430	1779	771	882	638	1140	PA0371	CDS			hypothetical protein
3075	1734	752	525	485	814	PA0372	CDS			zinc protease
8329.38	5088.62	2554.65	1574.15	1653.69	2493.14	PA0373	CDS	ftsY		signal recognition particle receptor FtsY
5639	3061	2107	1319	1087	1884	PA0374	CDS	ftsE		cell division protein FtsE
6291	4148	2838	3638	2847	3681	PA0375	CDS	ftsX		cell division protein FtsX
26478	17369	15835	28067	21931	33715	PA0376	CDS	rpoH		RNA polymerase sigma factor RpoH
1062	730	418	367	395	495	PA0377	CDS			hypothetical protein
847	557	409	290	274	414	PA0378	CDS			monofunctional biosynthetic peptidoglycan transglycosylase
960	494	389	398	351	681	PA0379	CDS			hypothetical protein
