CTRL1	CTRL2	CIP1	CIP2	id	type	name	??	description
451	1003	900	890	b0028	CDS	fkpB	5.2.1.8	peptidyl-prolyl cis-trans isomerase FkpB
850	1747	1658	1468	b0029	CDS	ispH	1.17.7.4	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase
33	79	93	82	b0030	CDS	rihC	3.2.2.1	ribonucleoside hydrolase RihC
821	1939	1591	1335	b0031	CDS	dapB	1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase
3555	6754	3472	2058	b0032	CDS	carA	6.3.5.5	carbamoyl phosphate synthetase subunit alpha
6749	13568	8577	6026	b0033	CDS	carB	6.3.5.5	carbamoyl phosphate synthetase subunit beta
137	242	46	39	b0034	CDS	caiF		DNA-binding transcriptional activator CaiF
9	24	17	17	b0035	CDS	caiE		putative transferase CaiE
8	13	2	4	b0036	CDS	caiD	4.2.1.149	crotonobetainyl-CoA hydratase
66	140	85	75	b0037	CDS	caiC	6.2.1.48	carnitine--CoA ligase
47	132	123	114	b0038	CDS	caiB	2.8.3.21	gamma-butyrobetainyl-CoA:carnitine CoA transferase
97	245	138	129	b0039	CDS	caiA	1.3.8.13	crotonobetainyl-CoA reductase
9	22	8	15	b0040	CDS	caiT		L-carnitine:gamma-butyrobetaine antiporter
2	10	11	5	b0041	CDS	fixA		putative electron transfer flavoprotein FixA
3	6	8	9	b0042	CDS	fixB		putative electron transfer flavoprotein FixB
9	15	16	17	b0043	CDS	fixC		putative oxidoreductase FixC
2	0	5	1	b0044	CDS	fixX		putative ferredoxin FixX
13	23	19	8	b0045	CDS	yaaU		putative transporter YaaU
43	124	85	74	b0046	CDS	kefF	1.6.5.2	regulator of KefC-mediated potassium transport and quinone oxidoreductase
271	657	531	423	b0047	CDS	kefC		K(+) : H(+) antiporter KefC
209	573	274	237	b0048	CDS	folA	1.5.1.3	dihydrofolate reductase
388	838	707	637	b0049	CDS	apaH	3.6.1.41	diadenosine tetraphosphatase
387	908	870	717	b0050	CDS	apaG		DUF525 domain-containing protein ApaG
1173	2944	2606	2092	b0051	CDS	rsmA	2.1.1.182	16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase
743	1565	1799	1556	b0052	CDS	pdxA	1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase
2891	7256	6466	5630	b0053	CDS	surA	5.2.1.8	chaperone SurA
5666	14188	9338	7345	b0054	CDS	lptD	7.5.2.5	lipopolysaccharide assembly protein LptD
382	896	499	420	b0055	CDS	djlA		co-chaperone protein DjlA
401	753	436	420	b0056	CDS	yabP		putative uncharacterized protein YabP
27	43	30	22	b0057	CDS	yabQ		protein YabQ
223	526	534	460	b0058	CDS	rluA	5.4.99.28	23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase
919	1984	2831	2249	b0059	CDS	rapA		RNA polymerase-binding ATPase and RNAP recycling factor
485	885	3265	2894	b0060	CDS	polB	2.7.7.7	DNA polymerase II
9	14	26	13	b0061	CDS	araD	5.1.3.4	L-ribulose-5-phosphate 4-epimerase AraD
31	69	50	58	b0062	CDS	araA	5.3.1.4	L-arabinose isomerase
8	29	28	23	b0063	CDS	araB	2.7.1.16	ribulokinase
105	231	122	96	b0064	CDS	araC		DNA-binding transcriptional dual regulator AraC
363	816	510	546	b0065	CDS	yabI		DedA family protein YabI
141	304	196	202	b0066	CDS	thiQ	7.6.2.15	thiamine ABC transporter ATP binding subunit
196	402	366	252	b0067	CDS	thiP	7.6.2.15	thiamine ABC transporter membrane subunit
395	877	528	337	b0068	CDS	thiB	7.6.2.15	thiamine ABC transporter periplasmic binding protein
128	224	196	157	b0069	CDS	sgrR		DNA-binding transcriptional dual regulator SgrR
66	71	19	13	b4662	CDS	sgrT		PtsG glucose transporter inhibitor
114	214	143	107	b0070	CDS	setA		sugar exporter SetA
2465	4659	6415	5531	b0071	CDS	leuD	4.2.1.33	3-isopropylmalate dehydratase subunit LeuD
4754	8628	14888	12646	b0072	CDS	leuC	4.2.1.33	3-isopropylmalate dehydratase subunit LeuC
3231	6257	9198	7665	b0073	CDS	leuB	1.1.1.85	3-isopropylmalate dehydrogenase
5224	12097	8886	6782	b0074	CDS	leuA	2.3.3.13	2-isopropylmalate synthase
41	74	20	11	b0075	CDS	leuL		leu operon leader peptide
102	147	38	54	b0076	CDS	leuO		DNA-binding transcriptional dual regulator LeuO
1	0	0	0	b4726	CDS	yabR		protein YabR
2919	6114	4886	4236	b0077	CDS	ilvI	2.2.1.6	acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit
733	1857	1412	1259	b0078	CDS	ilvH	2.2.1.6	acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit
920	2113	1100	913	b0080	CDS	cra		DNA-binding transcriptional dual regulator Cra
495	1130	467	410	b0081	CDS	mraZ		DNA-binding transcriptional repressor MraZ
534	1432	613	522	b0082	CDS	rsmH	2.1.1.199	16S rRNA m(4)C1402 methyltransferase
87	312	156	97	b0083	CDS	ftsL		cell division protein FtsL
1250	2423	1176	1051	b0084	CDS	ftsI		peptidoglycan DD-transpeptidase FtsI
1320	2751	2110	1846	b0085	CDS	murE	6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase
1016	2065	1967	1565	b0086	CDS	murF	6.3.2.10	D-alanyl-D-alanine-adding enzyme
896	1905	1512	1324	b0087	CDS	mraY	2.7.8.13	phospho-N-acetylmuramoyl-pentapeptide- transferase
1063	2092	1520	1390	b0088	CDS	murD	6.3.2.9	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
996	2208	1502	1326	b0089	CDS	ftsW		essential cell division protein FtsW
715	1971	1384	1199	b0090	CDS	murG	2.4.1.227	N-acetylglucosaminyl transferase
1477	3413	2761	2555	b0091	CDS	murC	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase
1049	2447	1827	1672	b0092	CDS	ddlB	6.3.2.4	D-alanine--D-alanine ligase B
1216	3398	2122	1835	b0093	CDS	ftsQ		cell division protein FtsQ
2522	5318	3048	2766	b0094	CDS	ftsA		cell division protein FtsA
4205	11706	7184	5937	b0095	CDS	ftsZ		cell division protein FtsZ
7062	16986	10743	10125	b0096	CDS	lpxC	3.5.1.108	UDP-3-O-acyl-N-acetylglucosamine deacetylase
716	1540	1048	860	b0097	CDS	secM		SecA translation regulator
3949	10234	8269	7339	b0098	CDS	secA		protein translocation ATPase
140	311	247	235	b0099	CDS	mutT	3.6.1.55	8-oxo-dGTP diphosphatase
114	248	264	192	b0101	CDS	yacG		DNA gyrase inhibitor YacG
267	632	628	478	b0102	CDS	zapD		cell division factor ZapD
162	405	244	163	b0103	CDS	coaE	2.7.1.24	dephospho-CoA kinase
1	1	0	0	b4727	CDS	yacM		protein YacM
1055	2617	1662	1318	b0104	CDS	guaC	1.7.1.7	GMP reductase
43	119	54	43	b0106	CDS	hofC		inner membrane protein HofC
61	156	113	107	b0107	CDS	hofB		T2SSE family protein
15	36	25	19	b0108	CDS	ppdD		prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD
512	1237	842	712	b0109	CDS	nadC	2.4.2.19	quinolinate phosphoribosyltransferase (decarboxylating)
163	267	285	261	b0110	CDS	ampD	3.5.1.28	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase
176	399	272	250	b0111	CDS	ampE		protein AmpE
5195	13422	6703	5784	b0112	CDS	aroP		aromatic amino acid:H(+) symporter AroP
1937	5133	3335	2586	b0113	CDS	pdhR		DNA-binding transcriptional dual regulator PdhR
15375	30658	30312	26693	b0114	CDS	aceE	1.2.4.1	pyruvate dehydrogenase E1 component
6791	10144	14934	13093	b0115	CDS	aceF	2.3.1.12	pyruvate dehydrogenase, E2 subunit
9708	24142	20006	16788	b0116	CDS	lpd	1.8.1.4	lipoamide dehydrogenase
101	217	115	104	b0117	CDS	yacH		DUF3300 domain-containing protein YacH
7835	14229	11564	9498	b0118	CDS	acnB	4.2.1.99	hypothetical protein
140	335	199	183	b0119	CDS	yacL		UPF0231 family protein YacL
1884	5102	2734	2334	b0120	CDS	speD	4.1.1.50	S-adenosylmethionine decarboxylase proenzyme
1658	3817	2016	1605	b0121	CDS	speE	2.5.1.16	spermidine synthase
719	1386	987	951	b0122	CDS	yacC		putative lipoprotein YacC
2211	5068	4992	4916	b0123	CDS	cueO	1.10.3.2	multicopper oxidase CueO
4679	10732	9463	8646	b0124	CDS	gcd	1.1.5.2	quinoprotein glucose dehydrogenase
671	1063	742	652	b0125	CDS	hpt	2.4.2.8	hypoxanthine phosphoribosyltransferase
3632	9265	6757	5807	b0126	CDS	can	4.2.1.1	carbonic anhydrase 2
517	1256	891	801	b0127	CDS	yadG		putative ABC transporter ATP-binding protein YadG
388	756	467	396	b0128	CDS	yadH		putative ABC transporter membrane subunit YadH
90	138	118	116	b0129	CDS	yadI		putative PTS enzyme IIA component YadI
198	427	241	207	b0130	CDS	yadE		putative polysaccharide deacetylase lipoprotein YadE
373	462	336	239	b0131	CDS	panD	4.1.1.11	aspartate 1-decarboxylase proenzyme
130	198	118	124	b0132	CDS	rpnC		recombination-promoting nuclease RpnC
1094	2694	1880	1510	b0133	CDS	panC	6.3.2.1	pantothenate synthetase
715	1577	1324	1058	b0134	CDS	panB	2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase
63	112	30	35	b0135	CDS	yadC		fimbrial tip-adhesin YadC
6	8	3	2	b0136	CDS	yadK		putative fimbrial protein YadK
9	10	4	0	b0137	CDS	yadL		putative fimbrial protein YadL
8	29	4	4	b0138	CDS	yadM		putative fimbrial protein YadM
58	135	27	17	b0139	CDS	htrE		putative fimbrial usher protein HtrE
17	15	6	6	b0140	CDS	yadV		putative fimbrial chaperone YadV
9	18	5	2	b0141	CDS	yadN		putative fimbrial protein YadN
94	196	168	90	b0142	CDS	folK	2.7.6.3	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
1671	4163	2391	1524	b0143	CDS	pcnB	2.7.7.19	poly(A) polymerase I
169	375	337	234	b0144	CDS	gluQ		glutamyl-Q tRNA(Asp) synthetase
3085	7760	3742	3638	b0145	CDS	dksA		RNA polymerase-binding transcription factor DksA
1041	1717	951	951	b0146	CDS	sfsA		putative DNA-binding transcriptional regulator of maltose metabolism
71	132	113	90	b0147	CDS	thpR	3.1.4.58	RNA 2',3'-cyclic phosphodiesterase
393	1028	803	655	b0148	CDS	hrpB		RNA-dependent NTPase HrpB
1078	2493	1964	1643	b0149	CDS	mrcB	2.4.1.129	peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB
0.00468586	2.24238e-05	1.34318e-05	0.000508585	b0149	CDS	mrcB		PBP1Bgamma
3093	6331	3769	3326	b0150	CDS	fhuA		ferrichrome outer membrane transporter/phage receptor
278	630	452	391	b0151	CDS	fhuC	7.2.2.16	iron(III) hydroxamate ABC transporter ATP binding subunit
215	469	318	265	b0152	CDS	fhuD	7.2.2.16	iron(III) hydroxamate ABC transporter periplasmic binding protein
315	540	545	512	b0153	CDS	fhuB	7.2.2.16	iron(III) hydroxamate ABC transporter membrane subunit
1540	3249	2691	2137	b0154	CDS	hemL	5.4.3.8	glutamate-1-semialdehyde 2,1-aminomutase
6	3	2	6	b4765	CDS	yadX		protein YadX
711	1190	829	809	b0155	CDS	clcA		chloride:H(+) antiporter ClcA
4	15	11	4	b4728	CDS	yadW		protein YadW
484	744	514	464	b0156	CDS	erpA		iron-sulfur cluster insertion protein ErpA
107	204	156	128	b0157	CDS	yadS		PF03458 family protein YadS
154	322	284	260	b0158	CDS	btuF	7.6.2.8	vitamin B12 ABC transporter periplasmic binding protein
1120	2909	2136	1738	b0159	CDS	mtn	3.2.2.9	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
453	971	481	373	b0160	CDS	dgt	3.1.5.1	dGTP triphosphohydrolase
1118	3020	1638	1457	b0161	CDS	degP	3.4.21.107	periplasmic serine endoprotease DegP
87	266	114	104	b0162	CDS	cdaR		DNA-binding transcriptional activator CdaR
1261	3209	1348	1352	b0163	CDS	yaeH		DUF3461 domain-containing protein YaeH
73	137	115	111	b0164	CDS	yaeI		phosphodiesterase YaeI
3139	8315	4947	4310	b0166	CDS	dapD	2.3.1.117	tetrahydrodipicolinate succinylase
627	1316	1159	960	b0167	CDS	glnD	2.7.7.59	PII uridylyltransferase/uridylyl removing enzyme
1870	4593	3052	2735	b0168	CDS	map	3.4.11.18	methionine aminopeptidase
17992	47737	27050	22850	b0169	CDS	rpsB		30S ribosomal subunit protein S2
7159	19669	13187	11038	b0170	CDS	tsf		protein chain elongation factor EF-Ts
1498	3351	2158	1833	b0171	CDS	pyrH	2.7.4.22	UMP kinase
3450	7767	4878	4238	b0172	CDS	frr		ribosome-recycling factor
619	1238	945	766	b0173	CDS	dxr	1.1.1.267	1-deoxy-D-xylulose 5-phosphate reductoisomerase
1805	3754	2215	2028	b0174	CDS	uppS	2.5.1.31	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]
1035	2260	1504	1247	b0175	CDS	cdsA	2.7.7.41	CDP-diglyceride synthetase
2841	6053	3953	3547	b0176	CDS	rseP		intramembrane zinc metalloprotease RseP
9316	21887	17671	15541	b0177	CDS	bamA		outer membrane protein assembly factor BamA
2597	6956	5358	4973	b0178	CDS	skp		periplasmic chaperone Skp
3520	8572	6852	5883	b0179	CDS	lpxD	2.3.1.191	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
1393	3445	2324	2281	b0180	CDS	fabZ	4.2.1.59	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase
1440	4149	3090	2977	b0181	CDS	lpxA	2.3.1.129	acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase
841	1819	1457	1208	b0182	CDS	lpxB	2.4.1.182	lipid A disaccharide synthase
295	651	681	462	b0183	CDS	rnhB	3.1.26.4	RNase HII
2927	6944	5697	4693	b0184	CDS	dnaE	2.7.7.7	DNA polymerase III subunit alpha
1850	4763	3169	2536	b0185	CDS	accA	2.1.3.15	acetyl-CoA carboxyltransferase subunit alpha
897	1692	1453	1271	b0186	CDS	ldcC	4.1.1.18	lysine decarboxylase 2
136	330	245	217	b0187	CDS	yaeR		VOC domain-containing protein YaeR
293	641	414	310	b0188	CDS	tilS	6.3.4.19	tRNA(Ile)-lysidine synthetase
219	450	286	260	b0189	CDS	rof		modulator of Rho-dependent transcription termination
283	591	277	299	b4406	CDS	yaeP		UPF0253 family protein YaeP
205	441	227	240	b0190	CDS	yaeQ		uncharacterized protein YaeQ
106	346	186	190	b0191	CDS	arfB	3.1.1.29	peptidyl-tRNA hydrolase, ribosome rescue factor
403	1122	671	613	b0192	CDS	nlpE		sensor lipoprotein NlpE
104	212	153	151	b0193	CDS	yaeF		peptidase C92 family protein YaeF
2773	8187	5707	4509	b0194	CDS	proS	6.1.1.15	proline--tRNA ligase
226	487	507	395	b0195	CDS	trmO		tRNA m(6)t(6)A37 methyltransferase
429	1026	788	709	b0196	CDS	rcsF		sensor lipoprotein RcsF
4359	12220	6002	5120	b0197	CDS	metQ	7.4.2.11	L-methionine/D-methionine ABC transporter membrane anchored binding protein
378	987	433	307	b0198	CDS	metI	7.4.2.11	L-methionine/D-methionine ABC transporter membrane subunit
287	786	174	100	b0199	CDS	metN	7.4.2.11	L-methionine/D-methionine ABC transporter ATP binding subunit
572	1174	846	843	b0200	CDS	gmhB	3.1.3.82	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
3032.19	3022.95	2904.58	1222.16	b0201	rRNA	rrsH		16S ribosomal RNA
310.333	417	165.333	92.6667	b0202	tRNA	ileV		tRNA-Ile
138.333	174.333	76	43.3333	b0203	tRNA	alaV		tRNA-Ala
6864.51	6269.1	5615.51	2087.93	b0204	rRNA	rrlH		23S ribosomal RNA
2389.8	4886.61	2460.26	1839.71	b0205	rRNA	rrfH		5S ribosomal RNA
101.667	193.333	119.333	102	b0206	tRNA	aspU		tRNA-Asp
96	217	168	140	b0207	CDS	dkgB	1.1.1.346	methylglyoxal reductase DkgB
109	283	122	116	b0208	CDS	yafC		LysR family transcriptional regulator YafC
763	1711	1012	858	b0209	CDS	yafD		endonuclease/exonuclease/phosphatase domain-containing protein YafD
197	544	372	302	b0210	CDS	yafE		putative S-adenosylmethionine-dependent methyltransferase
3599	8004	4273	3932	b0211	CDS	mltD		membrane-bound lytic murein transglycosylase D
503	1038	532	576	b0212	CDS	gloB	3.1.2.6	hydroxyacylglutathione hydrolase GloB
239	600	319	253	b0213	CDS	yafS		putative S-adenosyl-L-methionine-dependent methyltransferase
224	633	370	313	b0214	CDS	rnhA	3.1.26.4	ribonuclease HI
512	1029	473	352	b0215	CDS	dnaQ		DNA polymerase III subunit epsilon
101.667	193.333	119.333	102	b0216	tRNA	aspV		tRNA-Asp
28	37	25	16	b0217	CDS	yafT		lipoprotein YafT
13	2	1	2	b4586	CDS	ykfM		uncharacterized protein YkfM
308	693	410	321	b0219	CDS	yafV	3.5.1.111	2-oxoglutaramate amidase
1705	3113	888	832	b0220	CDS	ivy		periplasmic chaperone, inhibitor of vertebrate C-type lysozyme
255	567	338	286	b0221	CDS	fadE	1.3.8.8	acyl-CoA dehydrogenase
616	1497	896	816	b0222	CDS	gmhA	5.3.1.28	D-sedoheptulose 7-phosphate isomerase
388	1061	665	573	b0223	CDS	yafJ		putative glutamine amidotransferase YafJ
1259	3104	1749	1539	b0224	CDS	ldtF		L,D-transpeptidase domain-containing protein LdtF
374	855	400	320	b0225	CDS	yafQ		ribosome-dependent mRNA interferase toxin YafQ
658	1496	650	561	b0226	CDS	dinJ		antitoxin/DNA-binding transcriptional repressor DinJ
23	46	33	27	b0227	CDS	yafL		NlpC/P60 family protein YafL
42	100	33	27	b0228	CDS	rayT		REP-associated tyrosine transposase
100	182	745	666	b0231	CDS	dinB	2.7.7.7	DNA polymerase IV
38	121	168	127	b0232	CDS	yafN		antitoxin YafN
47	96	139	86	b0233	CDS	yafO		ribosome-dependent mRNA interferase toxin YafO
36	63	88	77	b0234	CDS	yafP		putative acyltransferase with acyl-CoA N-acyltransferase domain
2800	7585	4693	3880	b0237	CDS	pepD	3.4.13.18	peptidase D
302	405	125	101	b0238	CDS	gpt	2.4.2.22	xanthine-guanine phsophoribosyltransferase
358	918	730	540	b0239	CDS	frsA		fermentation-respiration switch protein
749	745	441	505	b0240	CDS	crl		RNA polymerase holoenzyme assembly factor Crl
78.219	116.366	81.8211	58.9034	b4710	CDS	insB9		IS1 transposase B
34.2678	50.2833	29.9535	34.4601	b4709	CDS	insA9		IS1 repressor TnpA
44	62	31	38	b0241	CDS	phoE		outer membrane porin PhoE
986	2180	1203	874	b0242	CDS	proB	2.7.2.11	glutamate 5-kinase
1118	2365	1548	1281	b0243	CDS	proA	1.2.1.41	glutamate-5-semialdehyde dehydrogenase
43	29	22	24	b0244	tRNA	thrW		tRNA-Thr
51	99	54	51	b0245	CDS	ykfI		CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system
16	28	19	13	b0246	CDS	yafW		antitoxin of the YkfI-YafW toxin-antitoxin pair
1	6	4	4	b4504	CDS	ykfH		DUF987 domain-containing protein YkfH
13	26.7688	17	21	b0247	CDS	ykfG		CP4-6 prophage; RadC-like JAB domain-containing protein YkfG
57	81	52	61	b0248	CDS	yafX		CP4-6 prophage; protein YafX
35	82	51	42	b0249	CDS	ykfF		CP4-6 prophage; protein YkfF
151	304	255	211	b0250	CDS	ykfB		CP4-6 prophage; protein YkfB
25	76	25	22	b0251	CDS	yafY		CP4-6 prophage; inner membrane lipoprotein YafY
33	43	39	37	b0252	CDS	yafZ		CP4-6 prophage; DUF932 domain-containing protein YafZ
151	390	231	187	b0253	CDS	ykfA		CP4-6 prophage; putative GTP-binding protein YkfA
95	141	101	71	b0254	CDS	perR		CP4-6 prophage; putative transcriptional regulator PerR
148.426	358.874	234.624	245.576	b4587	CDS	insN		CP4-6 prophage; IS911A regulator fragment
384.653	666.895	394.338	438.776	b0256	CDS	insI1		IS30 transposase
169	400	331	227	b0258	CDS	ykfC		CP4-6 prophage; PF00078 domain-containing protein YkfC
303.891	796.838	498.521	408.04	b0259	CDS	insH1		CP4-6 prophage; IS5 transposase and trans-activator
58	123	52	57	b0260	CDS	mmuP		CP4-6 prophage; S-methyl-L-methionine transporter
109	250	119	119	b0261	CDS	mmuM	2.1.1.10	CP4-6 prophage; homocysteine S-methyltransferase
26	47	32	33	b0262	CDS	afuC		CP4-6 prophage; ABC transporter ATP-binding protein AfuC
38.3409	69.8855	24.6888	23.2934	b0264	CDS	insB2		IS1 protein InsB
9.57448	62.4942	25.2016	18.9972	b0265	CDS	insA2		IS1 protein InsA
92	260	105	100	b0266	CDS	yagB		CP4-6 prophage; orphan antitoxin YagB
13	18	8	9	b0267	CDS	yagA		CP4-6 prophage; integrase core domain-containing protein YagA
11	29	16	10	b0268	CDS	yagE	4.1.2.28	CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase
38	49	61	39	b0269	CDS	yagF	4.2.1.82	CP4-6 prophage; D-xylonate dehydratase
15	37	26	20	b0270	CDS	yagG		CP4-6 prophage; putative D-xylonate transporter YagG
35	70	109	83	b0271	CDS	yagH		CP4-6 prophage; putative xylosidase/arabinosidase
148	369	317	195	b0272	CDS	xynR		CP4-6 prophage; DNA-binding transcriptional repressor XynR
1042.06	2360.08	1241.72	808.309	b0273	CDS	argF	2.1.3.3	CP4-6 prophage; ornithine carbamoyltransferase ArgF
4	0	1	1	b4766	CDS	argL		putative translational regulatory protein ArgL
2.64167	2.4971	5.78923	3.84418	b4688	CDS	ykgS		CP4-6 prophage; protein YkgS
38.3409	69.8855	24.6888	23.2934	b0274	CDS	insB3		IS1 protein InsB
9.57448	62.4942	25.2016	18.9972	b0275	CDS	insA3		IS1 protein InsA
251	394	142	142	b0276	CDS	yagJ		CP4-6 prophage; protein YagJ
106	218	45	52	b0277	CDS	yagK		CP4-6 prophage; uncharacterized protein YagK
81	97	35	42	b0278	CDS	yagL		CP4-6 prophage; resolvase-like catalytic domain-containing protein YagL
24	29	15	18	b0279	CDS	yagM		CP4-6 prophage; protein YagM
2	14	6	10	b4729	CDS	ykgV		CP4-6 prophage; protein YkgV
290	581	307	353	b0280	CDS	yagN		CP4-6 prophage; protein YagN
807	1517	596	575	b0281	CDS	intF		CP4-6 prophage; putative phage integrase
63	121	75	55	b0282	CDS	yagP		putative LysR family substrate binding domain-containing protein YagP
78	152	142	132	b0283	CDS	paoD		molybdenum cofactor insertion chaperone PaoD
317	403	482	347	b0284	CDS	paoC	1.2.99.6	aldehyde dehydrogenase: molybdenum cofactor-binding subunit
98	129	121	111	b0285	CDS	paoB	1.2.99.6	aldehyde dehydrogenase, FAD-binding subunit
103	181	115	87	b0286	CDS	paoA	1.2.99.6	aldehyde dehydrogenase, Fe-S subunit
511	981	406	288	b0287	CDS	yagU		inner membrane protein that contributes to acid resistance
57	76	22	20	b0288	CDS	ykgJ		putative zinc- or iron-chelating domain-containing protein YkgJ
62	136	70	56	b0289	CDS	ecpE		putative fimbrial chaperone EcpE
111	267	159	156	b0290	CDS	ecpD		fimbrial adhesin EcpD
68	134	76	71	b0291	CDS	ecpC		putative fimbrial usher protein EcpC
12	13	6	6	b0292	CDS	ecpB		putative fimbrial chaperone EcpB
142	258	115	87	b0293	CDS	ecpA		common pilus major subunit
7	19	6	7	b0294	CDS	ecpR		DNA-binding transcriptional dual regulator MatA
22	28	11	22	b0295	CDS	ykgL		uncharacterized protein YkgL
2	3	2	6	b4506	CDS	ykgO		50S ribosomal subunit protein L36B
19	29	7	6	b0296	CDS	ykgM		50S ribosomal subunit protein L31B
2	0	0	0	b4671	CDS	ykgR		putative membrane protein YkgR
28.2	77.8	43.4	35.6	b0298	CDS	insE1		IS3 element protein InsE
62.6	135.6	89.6	70.8	b0299	CDS	insF1		IS3 element protein InsF
17	34	17	19	b0301	CDS	rclC		reactive chlorine species resistance protein C
9	17	7	6	b0303	CDS	rclB		DUF1471 domain-containing protein RclB
187	314	173	134	b0304	CDS	rclA		cupric reductase RclA
15	32	11	3	b0305	CDS	rclR		DNA-binding transcriptional activator RclR
10	25	8	9	b0306	CDS	ykgE		putative lactate utilization oxidoreductase YkgE
82	184	113	87	b0307	CDS	ykgF		putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain
39	67	40	32	b0308	CDS	ykgG		DUF162 domain-containing lactate utilization protein YkgG
31	28	10	13	b0310	CDS	ykgH		uncharacterized protein YkgH
303	586	485	401	b0311	CDS	betA	1.1.99.1	choline dehydrogenase
426	715	574	445	b0312	CDS	betB	1.2.1.8	betaine aldehyde dehydrogenase
178	402	227	171	b0313	CDS	betI		DNA-binding transcriptional repressor BetI
524	1288	494	427	b0314	CDS	betT		choline:H(+) symporter
6	3	0	2	b4730	CDS	yahV		protein YahV
148	337	79	51	b0315	CDS	pdeL	3.1.4.52	DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL
122	241	111	83	b0316	CDS	yahB		putative LysR-type DNA-binding transcriptional regulator YahB
2	16	2	2	b0317	CDS	yahC		uncharacterized protein YahC
49	112	33	40	b0318	CDS	yahD		ankyrin repeat-containing protein YahD
7	16	9	6	b0319	CDS	yahE		DUF2877 domain-containing protein YahE
22	26	12	16	b0320	CDS	yahF		putative acyl-CoA synthetase YahF
48	106	50	38	b0321	CDS	yahG		DUF1116 domain-containing protein YahG
225	440	328	356	b0322	CDS	yahH		putative uncharacterized protein YahH
