id	type	gene	version	description
PaeAG1_00123	CDS			hypothetical protein
PaeAG1_00124	CDS	ctaA	1.3.-.-	Heme A synthase
PaeAG1_00125	CDS		2.5.1.-	protoheme IX farnesyltransferase
PaeAG1_00126	CDS	senC		cytochrome c oxidase assembly protein SenC
PaeAG1_00127	CDS			hypothetical protein
PaeAG1_00128	CDS			putative HTH-type transcriptional regulator
PaeAG1_00129	CDS			short-chain dehydrogenase
PaeAG1_00130	CDS	nsaD	5.99.1.4	2-hydroxychromene-2-carboxylate isomerase
PaeAG1_00131	CDS			C4-dicarboxylate transporter DctA
PaeAG1_00132	CDS			transcriptional regulator
PaeAG1_00133	CDS			transcriptional regulator
PaeAG1_00134	CDS			hypothetical protein
PaeAG1_00135	CDS			transcriptional regulator
PaeAG1_00136	CDS			hypothetical protein
PaeAG1_00137	CDS			hypothetical protein
PaeAG1_00138	CDS			hypothetical protein
PaeAG1_00139	CDS			hypothetical protein
PaeAG1_00140	CDS			hypothetical protein
PaeAG1_00141	CDS	gabP		gamma-aminobutyrate permease
PaeAG1_00142	CDS			3-oxopropanoate dehydrogenase
PaeAG1_00143	CDS			beta-alanine degradation protein BauB
PaeAG1_00144	CDS		2.6.1.18	beta alanine--pyruvate transaminase
PaeAG1_00145	CDS			HTH-type transcriptional activator BauR
PaeAG1_00146	CDS			guanine deaminase
PaeAG1_00147	CDS			hypothetical protein
PaeAG1_00148	CDS			ABC transporter ATP-binding protein
PaeAG1_00149	CDS			ABC transporter permease
PaeAG1_00150	CDS			ABC transporter permease
PaeAG1_00151	CDS	ahpC		alkyl hydroperoxide reductase
PaeAG1_00152	CDS	ahpF		alkyl hydroperoxide reductase
PaeAG1_00153	CDS	ppk2	2.7.4.1	Polyphosphate:ADP/GDP phosphotransferase
PaeAG1_00154	CDS		3.5.4.43	8-oxoguanine deaminase
PaeAG1_00155	CDS	nuh		nonspecific ribonucleoside hydrolase
PaeAG1_00156	CDS			hypothetical protein
PaeAG1_00157	CDS			hypothetical protein
PaeAG1_00158	CDS			Purine-binding protein
PaeAG1_00159	CDS			oxidoreductase
PaeAG1_00160	CDS		3.5.4.4	adenosine deaminase
PaeAG1_00161	CDS			ECF subfamily sigma-70 factor
PaeAG1_00162	CDS			transmembrane sensor
PaeAG1_00163	CDS			TonB-dependent receptor
PaeAG1_00164	CDS	pcaQ		transcriptional regulator PcaQ
PaeAG1_00165	CDS	pcaH		protocatechuate 3,4-dioxygenase subunit beta
PaeAG1_00166	CDS	pcaG		protocatechuate 3,4-dioxygenase subunit alpha
PaeAG1_00167	CDS	pcaR		transcriptional regulator PcaR
PaeAG1_00168	CDS			resistance-nodulation-cell division (RND) efflux membrane fusion protein
PaeAG1_00169	CDS			resistance-nodulation-cell division (RND) efflux membrane fusion protein
PaeAG1_00170	CDS			resistance-nodulation-cell division (RND) efflux transporter
PaeAG1_00171	CDS			transcriptional regulator
PaeAG1_00172	CDS			hypothetical protein
PaeAG1_00173	CDS	opdC		histidine porin OpdC
PaeAG1_00174	CDS			transcriptional regulator
PaeAG1_00175	CDS			gamma-glutamyltranspeptidase
PaeAG1_00176	CDS			hypothetical protein
PaeAG1_00177	CDS			transporter
PaeAG1_00178	CDS			transcriptional regulator
PaeAG1_00179	CDS	yigZ		IMPACT family member YigZ
PaeAG1_00180	CDS	wspR_1		two-component response regulator
PaeAG1_00181	CDS			hypothetical protein
PaeAG1_00182	CDS			hypothetical protein
PaeAG1_00183	CDS			hypothetical protein
PaeAG1_00184	CDS		3.1.1.61	chemotaxis response regulator protein-glutamate methylesterase
PaeAG1_00185	CDS	cheD	3.5.1.44	Chemoreceptor glutamine deamidase CheD
PaeAG1_00186	CDS			chemotaxis protein methyltransferase
PaeAG1_00187	CDS	aer2		aerotaxis transducer Aer2
PaeAG1_00188	CDS			purine-binding chemotaxis protein
PaeAG1_00189	CDS			two-component sensor
PaeAG1_00190	CDS			two-component response regulator
PaeAG1_00191	CDS	cttP		trichloroethylene chemotactic transducer CttP
PaeAG1_00192	CDS			transcriptional regulator
PaeAG1_00193	CDS		1.1.1.100	3-ketoacyl-ACP reductase
PaeAG1_00194	CDS	atsA		arylsulfatase
PaeAG1_00195	CDS			ABC transporter ATP-binding protein
PaeAG1_00196	CDS			ABC transporter permease
PaeAG1_00197	CDS			ABC transporter
PaeAG1_00198	CDS			hypothetical protein
PaeAG1_00199	CDS			hypothetical protein
PaeAG1_00200	CDS			porin
PaeAG1_00201	CDS			acid phosphatase
PaeAG1_00202	CDS			transcriptional regulator
PaeAG1_00203	CDS			TonB-dependent receptor
PaeAG1_00204	CDS	tauD_1	1.14.11.17	taurine dioxygenase
PaeAG1_00205	CDS	tauD_2	1.14.11.17	taurine dioxygenase
PaeAG1_00206	CDS	pntAA		NAD(P) transhydrogenase subunit alpha
PaeAG1_00207	CDS	pntAB		NAD(P) transhydrogenase subunit alpha
PaeAG1_00208	CDS	pntB		pyridine nucleotide transhydrogenase subunit beta
PaeAG1_00209	CDS	tonB2		transporter TonB
PaeAG1_00210	CDS	exbB1		transporter ExbB
PaeAG1_00211	CDS	exbD1		biopolymer transport protein ExbD
PaeAG1_00212	CDS			hypothetical protein
PaeAG1_00213	CDS			hypothetical protein
PaeAG1_00214	CDS	mdcA		malonate decarboxylase subunit alpha
PaeAG1_00215	CDS		2.4.2.52	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
PaeAG1_00216	CDS	mdcC		malonate decarboxylase acyl carrier protein
PaeAG1_00217	CDS	mdcD		malonate decarboxylase subunit beta
PaeAG1_00218	CDS	mdcE		malonate decarboxylase subunit gamma
PaeAG1_00219	CDS			phosphoribosyl-dephospho-CoA transferase
PaeAG1_00220	CDS			acyl transferase
PaeAG1_00221	CDS			malonate transporter MadL
PaeAG1_00222	CDS			malonate transporter MadM
PaeAG1_00223	CDS			transcriptional regulator
PaeAG1_00224	CDS			transcriptional regulator
PaeAG1_00225	CDS			aldehyde dehydrogenase
PaeAG1_00226	CDS			amino acid APC family transporter
PaeAG1_00227	CDS			aminotransferase
PaeAG1_00228	CDS			ABC transporter
PaeAG1_00229	CDS			dihydrodipicolinate synthetase
PaeAG1_00230	CDS			class II aldolase/adducin domain-containing protein
PaeAG1_00231	CDS			transcriptional regulator
PaeAG1_00232	CDS			CoA transferase subunit A
PaeAG1_00233	CDS			CoA transferase subunit B
PaeAG1_00234	CDS	pcaF		beta-ketoadipyl CoA thiolase
PaeAG1_00235	CDS	pcaT		dicarboxylic acid transporter PcaT
PaeAG1_00236	CDS	pcaB	5.5.1.2	3-carboxy-cis,cis-muconate cycloisomerase
PaeAG1_00237	CDS	pcaD		3-oxoadipate enol-lactonase
PaeAG1_00238	CDS	pcaC_1		4-carboxymuconolactone decarboxylase
PaeAG1_00239	CDS			transcriptional regulator
PaeAG1_00240	CDS			hypothetical protein
PaeAG1_00241	CDS	pcaK		4-hydroxybenzoate transporter PcaK
PaeAG1_00242	CDS			transcriptional regulator
PaeAG1_00243	CDS			oxidoreductase
PaeAG1_00244	CDS			hypothetical protein
PaeAG1_00245	CDS			hypothetical protein
PaeAG1_00246	CDS			porin
PaeAG1_00247	CDS			major facilitator superfamily transporter
PaeAG1_00248	CDS			hypothetical protein
PaeAG1_00249	CDS			transcriptional regulator
PaeAG1_00250	CDS		1.1.1.25	shikimate 5-dehydrogenase
PaeAG1_00251	CDS	aroQ2	4.2.1.10	3-dehydroquinate dehydratase
PaeAG1_00252	CDS			major facilitator superfamily transporter
PaeAG1_00253	CDS	pobA	1.14.13.2	4-hydroxybenzoate 3-monooxygenase
PaeAG1_00254	CDS			transcriptional regulator
PaeAG1_00255	CDS			acetyltransferase
PaeAG1_00256	CDS	guaB_1	1.1.1.205	Inosine-5'-monophosphate dehydrogenase
PaeAG1_00257	CDS			hypothetical protein
PaeAG1_00258	CDS			hypothetical protein
PaeAG1_00259	CDS			transcriptional regulator
PaeAG1_00260	CDS			3-octaprenyl-4-hydroxybenzoate carboxy-lyase
PaeAG1_00261	CDS			hypothetical protein
PaeAG1_00262	CDS			hypothetical protein
PaeAG1_00263	CDS			IS3 family transposase ISPa57
PaeAG1_00264	CDS			hypothetical protein
PaeAG1_00265	CDS			hypothetical protein
PaeAG1_00266	CDS			hypothetical protein
PaeAG1_00267	CDS			hypothetical protein
PaeAG1_00268	CDS			hypothetical protein
PaeAG1_00269	CDS	hcpC_1		secreted protein Hcp
PaeAG1_00270	CDS			hypothetical protein
PaeAG1_00271	CDS			IS21 family transposase ISPst3
PaeAG1_00272	CDS			hypothetical protein
PaeAG1_00273	CDS			ABC transporter ATP-binding protein
PaeAG1_00274	CDS	fmdA	3.5.1.49	Formamidase
PaeAG1_00275	CDS			ABC transporter
PaeAG1_00276	CDS			ABC transporter permease
PaeAG1_00277	CDS			ABC transporter permease
PaeAG1_00278	CDS			hypothetical protein
PaeAG1_00279	CDS	amiC_1		aliphatic amidase expression-regulating protein
PaeAG1_00280	CDS			hypothetical protein
PaeAG1_00281	CDS			hypothetical protein
PaeAG1_00282	CDS			hypothetical protein
PaeAG1_00283	CDS			hypothetical protein
PaeAG1_00284	CDS			hypothetical protein
PaeAG1_00285	CDS			hypothetical protein
PaeAG1_00286	CDS			hypothetical protein
PaeAG1_00287	CDS			hypothetical protein
PaeAG1_00288	CDS			hypothetical protein
PaeAG1_00289	CDS	intQ_1		Putative defective protein IntQ
PaeAG1_00290	CDS			hypothetical protein
PaeAG1_00291	CDS			restriction-modification system protein
PaeAG1_00292	CDS			hypothetical protein
PaeAG1_00293	CDS			hypothetical protein
PaeAG1_00294	CDS			hypothetical protein
PaeAG1_00295	CDS			FMN oxidoreductase
PaeAG1_00296	CDS			oxidoreductase
PaeAG1_00297	CDS			hypothetical protein
PaeAG1_00298	CDS			oxidoreductase
PaeAG1_00299	CDS	nhaA		Na(+)/H(+) antiporter NhaA
PaeAG1_00300	CDS	uvrA_1		excinuclease ABC subunit A
PaeAG1_00301	CDS			hypothetical protein
PaeAG1_00302	CDS			hypothetical protein
PaeAG1_00303	CDS			hypothetical protein
PaeAG1_00304	CDS	ssuD	1.14.14.5	Alkanesulfonate monooxygenase
PaeAG1_00305	CDS			oxidoreductase
PaeAG1_00306	CDS			hypothetical protein
PaeAG1_00307	CDS	gfnR_1		glutathione-dependent formaldehyde neutralization regulator GfnR
PaeAG1_00308	CDS			short-chain dehydrogenase
PaeAG1_00309	CDS			hypothetical protein
PaeAG1_00310	CDS			hypothetical protein
PaeAG1_00311	CDS	adhC_1		alcohol dehydrogenase
PaeAG1_00312	CDS			hypothetical protein
PaeAG1_00313	CDS			hypothetical protein
PaeAG1_00314	CDS			hypothetical protein
PaeAG1_00315	CDS			transcriptional regulator
PaeAG1_00316	CDS			hypothetical protein
PaeAG1_00317	CDS			hypothetical protein
PaeAG1_00318	CDS			transcriptional regulator
PaeAG1_00319	CDS			oxidoreductase
PaeAG1_00320	tRNA			tRNA-Arg
PaeAG1_00321	CDS	gabD	1.2.1.16	glutarate-semialdehyde dehydrogenase DavD
PaeAG1_00322	CDS			5-aminovalerate aminotransferase DavT
PaeAG1_00323	CDS			hypothetical protein
PaeAG1_00324	CDS			transcriptional regulator
PaeAG1_00325	CDS			hypothetical protein
PaeAG1_00326	CDS			hypothetical protein
PaeAG1_00327	CDS			hypothetical protein
PaeAG1_00328	CDS			transcriptional regulator
PaeAG1_00329	CDS			major facilitator superfamily transporter
PaeAG1_00330	CDS			hypothetical protein
PaeAG1_00331	CDS			transcriptional regulator
PaeAG1_00332	CDS			hypothetical protein
PaeAG1_00333	CDS	ycaL	3.4.24.-	putative metalloprotease YcaL
PaeAG1_00334	CDS			hypothetical protein
PaeAG1_00335	CDS			hypothetical protein
PaeAG1_00336	CDS			hypothetical protein
PaeAG1_00337	CDS			hypothetical protein
PaeAG1_00338	CDS			hypothetical protein
PaeAG1_00339	CDS			hypothetical protein
PaeAG1_00340	CDS			hypothetical protein
PaeAG1_00341	CDS			hypothetical protein
PaeAG1_00342	CDS			hypothetical protein
PaeAG1_00343	CDS			hypothetical protein
PaeAG1_00344	CDS			hypothetical protein
PaeAG1_00345	CDS			hypothetical protein
PaeAG1_00346	CDS			hypothetical protein
PaeAG1_00347	CDS			hypothetical protein
PaeAG1_00348	CDS			hypothetical protein
PaeAG1_00349	CDS			hypothetical protein
PaeAG1_00350	CDS			hypothetical protein
PaeAG1_00351	CDS			transcriptional regulator
PaeAG1_00352	CDS	cysA		sulfate.thiosulfate ABC transporter ATP-binding protein CysA
PaeAG1_00353	CDS	cysW		sulfate transporter CysW
PaeAG1_00354	CDS	cysT		sulfate transporter CysT
PaeAG1_00355	CDS	sbp		sulfate-binding protein
PaeAG1_00356	CDS			hypothetical protein
PaeAG1_00357	CDS			hypothetical protein
PaeAG1_00358	CDS	desA		delta-9 fatty acid desaturase DesA
PaeAG1_00359	CDS	gpuP		3-guanidinopropionate transporter
PaeAG1_00360	CDS	gpuA		guanidinopropionase
PaeAG1_00361	CDS	gpuR		transcriptional activator GpuR
PaeAG1_00362	CDS			hypothetical protein
PaeAG1_00363	CDS	oprE		anaerobically-induced outer membrane porin OprE
PaeAG1_00364	CDS	aguA	3.5.3.12	agmatine deiminase
PaeAG1_00365	CDS	aguB_1		N-carbamoylputrescine amidohydrolase
PaeAG1_00366	CDS	aguR		transcriptional regulator AguR
PaeAG1_00367	CDS			polyamine binding protein
PaeAG1_00368	CDS	spuI_1		glutamine synthetase
PaeAG1_00369	CDS	spuA		glutamine amidotransferase
PaeAG1_00370	CDS	spuB_1		glutamine synthetase
PaeAG1_00371	CDS	spuC_1		aminotransferase
PaeAG1_00372	CDS	spuD		putrescine ABC transporter substrate-binding protein SpuD
PaeAG1_00373	CDS	spuE		spermidine ABC transporter substrate-binding protein SpuE
PaeAG1_00374	CDS	spuF		polyamine transporter PotG
PaeAG1_00375	CDS	spuG		polyamine transporter PotH
PaeAG1_00376	CDS	spuH		polyamine transporter PotI
PaeAG1_00377	CDS	quiP_1		acyl-homoserine lactone acylase QuiP
PaeAG1_00378	CDS			transcriptional regulator
PaeAG1_00379	CDS			transcriptional regulator
PaeAG1_00380	CDS			hypothetical protein
PaeAG1_00381	CDS			hypothetical protein
PaeAG1_00382	CDS			hypothetical protein
PaeAG1_00383	CDS			hypothetical protein
PaeAG1_00384	CDS			hypothetical protein
PaeAG1_00385	CDS			hypothetical protein
PaeAG1_00386	CDS			hypothetical protein
PaeAG1_00387	CDS			L-cysteine ABC transporter protein YecS
PaeAG1_00388	CDS			L-cysteine ABC transporter protein FliY
PaeAG1_00389	CDS			hypothetical protein
PaeAG1_00390	CDS	serA		D-3-phosphoglycerate dehydrogenase
PaeAG1_00391	CDS	glcD_1		glycolate oxidase subunit GlcD
PaeAG1_00392	CDS	ycgM		putative protein YcgM
PaeAG1_00393	CDS	yjiK_1		putative protein YjiK
PaeAG1_00394	CDS	ygiW		Protein YgiW
PaeAG1_00395	CDS			acetylpolyamine aminohydrolase
PaeAG1_00396	CDS			transporter
PaeAG1_00397	CDS			ABC transporter
PaeAG1_00398	CDS			ABC transporter permease
PaeAG1_00399	CDS			ABC transporter permease
PaeAG1_00400	CDS			ABC transporter ATP-binding protein
PaeAG1_00401	CDS	yjiK_2		putative protein YjiK
PaeAG1_00402	CDS			hypothetical protein
PaeAG1_00403	CDS			transferase
PaeAG1_00404	CDS			hypothetical protein
PaeAG1_00405	CDS	rpiA	5.3.1.6	ribose-5-phosphate isomerase A
PaeAG1_00406	CDS	ilvA1	4.3.1.19	threonine dehydratase
PaeAG1_00407	CDS			hypothetical protein
PaeAG1_00408	CDS			hypothetical protein
PaeAG1_00409	CDS			hypothetical protein
PaeAG1_00410	CDS			major facilitator superfamily transporter
PaeAG1_00411	CDS		3.1.3.-	putative phosphatase
PaeAG1_00412	CDS	ygdP	3.6.1.-	RNA pyrophosphohydrolase
PaeAG1_00413	CDS	ptsP		phosphoenolpyruvate-protein phosphotransferase PtsP
PaeAG1_00414	CDS			hypothetical protein
PaeAG1_00415	CDS			hypothetical protein
PaeAG1_00416	CDS			hypothetical protein
PaeAG1_00417	CDS	lgt	2.4.99.-	prolipoprotein diacylglyceryl transferase
PaeAG1_00418	CDS	thyA	2.1.1.45	thymidylate synthase
PaeAG1_00419	CDS			hypothetical protein
PaeAG1_00420	CDS			hypothetical protein
PaeAG1_00421	CDS			putative membrane protein
PaeAG1_00422	CDS			hypothetical protein
PaeAG1_00423	CDS	glpQ		glycerophosphoryl diester phosphodiesterase
PaeAG1_00424	CDS			hypothetical protein
PaeAG1_00425	CDS			hypothetical protein
PaeAG1_00426	CDS	folA		dihydrofolate reductase
PaeAG1_00427	CDS			hypothetical protein
PaeAG1_00428	CDS			transporter
PaeAG1_00429	CDS	ilvD	4.2.1.9	dihydroxy-acid dehydratase
PaeAG1_00430	CDS	rlmI	2.1.1.191	Ribosomal RNA large subunit methyltransferase I
PaeAG1_00431	CDS	pfpI_1		protease PfpI
PaeAG1_00432	CDS			hypothetical protein
PaeAG1_00433	CDS	mutM	3.2.2.23	formamidopyrimidine-DNA glycosylase
PaeAG1_00434	CDS			hypothetical protein
PaeAG1_00435	CDS			hypothetical protein
PaeAG1_00436	CDS			hypothetical protein
PaeAG1_00437	CDS			gamma-glutamyltranspeptidase
PaeAG1_00438	CDS	fdx1		4Fe-4S ferredoxin
PaeAG1_00439	CDS	coaD	2.7.7.3	phosphopantetheine adenylyltransferase
PaeAG1_00440	CDS			oxidoreductase
PaeAG1_00441	CDS			hypothetical protein
PaeAG1_00442	CDS			coniferyl aldehyde dehydrogenase
PaeAG1_00443	CDS			transcriptional regulator
PaeAG1_00444	CDS			acetyltransferase
PaeAG1_00445	CDS			hypothetical protein
PaeAG1_00446	CDS			hypothetical protein
PaeAG1_00447	CDS	rsmD	2.1.1.171	Ribosomal RNA small subunit methyltransferase D
PaeAG1_00448	CDS			hypothetical protein
PaeAG1_00449	CDS			zinc protease
PaeAG1_00450	CDS	ftsY		signal recognition particle receptor FtsY
PaeAG1_00451	CDS	ftsE		cell division protein FtsE
PaeAG1_00452	CDS	ftsX		cell division protein FtsX
PaeAG1_00453	CDS	rpoH		RNA polymerase sigma factor RpoH
PaeAG1_00454	CDS			hypothetical protein
PaeAG1_00455	CDS			monofunctional biosynthetic peptidoglycan transglycosylase
PaeAG1_00456	CDS			hypothetical protein
PaeAG1_00457	CDS			sulfur carrier protein ThiS
PaeAG1_00458	CDS	thiG		thiazole synthase
PaeAG1_00459	CDS	micA	2.1.1.33	tRNA (guanine-N(7)-)-methyltransferase
PaeAG1_00460	CDS			hypothetical protein
PaeAG1_00461	CDS			hypothetical protein
PaeAG1_00462	CDS			hypothetical protein
PaeAG1_00463	CDS			coproporphyrinogen III oxidase
PaeAG1_00464	CDS			non-canonical purine NTP pyrophosphatase
PaeAG1_00465	CDS			hypothetical protein
PaeAG1_00466	CDS	metXA		Bifunctional methionine biosynthesis protein MetXA/MetW
PaeAG1_00467	CDS	metX	2.3.1.31	homoserine O-acetyltransferase
PaeAG1_00468	CDS			hypothetical protein
PaeAG1_00469	CDS			hypothetical protein
PaeAG1_00470	CDS			hypothetical protein
PaeAG1_00471	CDS	proC	1.5.1.2	pyrroline-5-carboxylate reductase
PaeAG1_00472	CDS	yggS		Pyridoxal phosphate homeostasis protein
PaeAG1_00473	CDS	pilT_1		twitching motility protein PilT
PaeAG1_00474	CDS	pilU		twitching motility protein PilU
PaeAG1_00475	CDS			cation efflux system protein
PaeAG1_00476	CDS			hypothetical protein
PaeAG1_00477	CDS			cystathionine beta-synthase
PaeAG1_00478	CDS			cystathionine gamma-lyase
PaeAG1_00479	CDS		3.5.2.3	dihydroorotase
PaeAG1_00480	CDS	pyrB	2.1.3.2	aspartate carbamoyltransferase
PaeAG1_00481	CDS	pyrR	2.4.2.9	bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase
PaeAG1_00482	CDS			Holliday junction resolvase
PaeAG1_00483	CDS			hypothetical protein
PaeAG1_00484	CDS	tonB3		transporter TonB
PaeAG1_00485	CDS	gshB	6.3.2.3	glutathione synthetase
PaeAG1_00486	CDS	pilG		pilus biosynthesis/twitching motility protein PilG
PaeAG1_00487	CDS	pilH		twitching motility protein PilH
PaeAG1_00488	CDS	pilI		twitching motility protein PilI
PaeAG1_00489	CDS	pilJ		twitching motility protein PilJ
PaeAG1_00490	CDS	pilK		methyltransferase PilK
PaeAG1_00491	CDS	chpA_1		chemotactic signal transduction system protein
PaeAG1_00492	CDS	chpB		methylesterase
PaeAG1_00493	CDS	chpC		chemotaxis protein
PaeAG1_00494	CDS	chpD		transcriptional regulator
PaeAG1_00495	CDS	chpE		chemotactic transduction protein ChpE
PaeAG1_00496	CDS			hypothetical protein
PaeAG1_00497	CDS			16S ribosomal RNA methyltransferase RsmE
PaeAG1_00498	CDS	bioA	2.6.1.62	adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA
PaeAG1_00499	CDS		1.4.5.-	L-amino acid dehydrogenase
PaeAG1_00500	CDS			cytochrome b561
PaeAG1_00501	CDS	yceI		Protein YceI
PaeAG1_00502	CDS	mexR		multidrug resistance operon repressor MexR
PaeAG1_00503	CDS	mexA		multidrug resistance protein MexA
PaeAG1_00504	CDS	mexB		multidrug resistance protein MexB
PaeAG1_00505	CDS	oprM_1		outer membrane protein OprM
