CRTL1	CRTL2	T1	T2	id	type	name	version	description
1049	2068	1504	1373	b0088	CDS	murD	6.3.2.9	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
987	2192	1481	1317	b0089	CDS	ftsW		essential cell division protein FtsW
706	1955	1364	1188	b0090	CDS	murG	2.4.1.227	N-acetylglucosaminyl transferase
1463	3373	2733	2528	b0091	CDS	murC	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase
1039	2440	1812	1653	b0092	CDS	ddlB	6.3.2.4	D-alanine--D-alanine ligase B
1208	3364	2103	1820	b0093	CDS	ftsQ		cell division protein FtsQ
2496	5258	3003	2720	b0094	CDS	ftsA		cell division protein FtsA
4174	11613	7103	5875	b0095	CDS	ftsZ		cell division protein FtsZ
7003	16787	10641	10036	b0096	CDS	lpxC	3.5.1.108	UDP-3-O-acyl-N-acetylglucosamine deacetylase
710	1531	1042	853	b0097	CDS	secM		SecA translation regulator
3910	10152	8191	7268	b0098	CDS	secA		protein translocation ATPase
140	308	246	233	b0099	CDS	mutT	3.6.1.55	8-oxo-dGTP diphosphatase
114	241	260	187	b0101	CDS	yacG		DNA gyrase inhibitor YacG
263	624	622	474	b0102	CDS	zapD		cell division factor ZapD
160	397	241	163	b0103	CDS	coaE	2.7.1.24	dephospho-CoA kinase
1	1	0	0	b4727	CDS	yacM		protein YacM
1047	2584	1644	1303	b0104	CDS	guaC	1.7.1.7	GMP reductase
43	118	54	43	b0106	CDS	hofC		inner membrane protein HofC
61	155	113	105	b0107	CDS	hofB		T2SSE family protein
15	35	25	18	b0108	CDS	ppdD		prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD
510	1221	837	704	b0109	CDS	nadC	2.4.2.19	quinolinate phosphoribosyltransferase (decarboxylating)
160	266	282	258	b0110	CDS	ampD	3.5.1.28	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase
172	391	268	247	b0111	CDS	ampE		protein AmpE
5142	13272	6628	5729	b0112	CDS	aroP		aromatic amino acid:H(+) symporter AroP
1924	5090	3306	2568	b0113	CDS	pdhR		DNA-binding transcriptional dual regulator PdhR
15250	30406	30027	26443	b0114	CDS	aceE	1.2.4.1	pyruvate dehydrogenase E1 component
6722	10040	14777	12957	b0115	CDS	aceF	2.3.1.12	pyruvate dehydrogenase, E2 subunit
9638	23922	19805	16618	b0116	CDS	lpd	1.8.1.4	lipoamide dehydrogenase
100	216	114	103	b0117	CDS	yacH		DUF3300 domain-containing protein YacH
7763	14103	11468	9384	b0118	CDS	acnB	4.2.1.99	hypothetical protein
138	334	197	181	b0119	CDS	yacL		UPF0231 family protein YacL
1867	5061	2707	2308	b0120	CDS	speD	4.1.1.50	S-adenosylmethionine decarboxylase proenzyme
1650	3785	1988	1584	b0121	CDS	speE	2.5.1.16	spermidine synthase
714	1383	981	943	b0122	CDS	yacC		putative lipoprotein YacC
2191	5024	4947	4867	b0123	CDS	cueO	1.10.3.2	multicopper oxidase CueO
4638	10621	9368	8560	b0124	CDS	gcd	1.1.5.2	quinoprotein glucose dehydrogenase
667	1047	731	645	b0125	CDS	hpt	2.4.2.8	hypoxanthine phosphoribosyltransferase
3597	9170	6686	5744	b0126	CDS	can	4.2.1.1	carbonic anhydrase 2
512	1247	881	796	b0127	CDS	yadG		putative ABC transporter ATP-binding protein YadG
385	746	463	391	b0128	CDS	yadH		putative ABC transporter membrane subunit YadH
90	138	113	114	b0129	CDS	yadI		putative PTS enzyme IIA component YadI
196	420	236	202	b0130	CDS	yadE		putative polysaccharide deacetylase lipoprotein YadE
371	456	331	238	b0131	CDS	panD	4.1.1.11	aspartate 1-decarboxylase proenzyme
128	198	116	122	b0132	CDS	rpnC		recombination-promoting nuclease RpnC
1084	2668	1860	1493	b0133	CDS	panC	6.3.2.1	pantothenate synthetase
707	1557	1307	1042	b0134	CDS	panB	2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase
62	111	30	33	b0135	CDS	yadC		fimbrial tip-adhesin YadC
6	8	3	2	b0136	CDS	yadK		putative fimbrial protein YadK
9	10	4	0	b0137	CDS	yadL		putative fimbrial protein YadL
8	29	4	4	b0138	CDS	yadM		putative fimbrial protein YadM
58	134	27	17	b0139	CDS	htrE		putative fimbrial usher protein HtrE
16	15	6	6	b0140	CDS	yadV		putative fimbrial chaperone YadV
9	18	4	2	b0141	CDS	yadN		putative fimbrial protein YadN
94	193	168	88	b0142	CDS	folK	2.7.6.3	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
1660	4114	2375	1507	b0143	CDS	pcnB	2.7.7.19	poly(A) polymerase I
167	371	333	233	b0144	CDS	gluQ		glutamyl-Q tRNA(Asp) synthetase
3070	7699	3692	3613	b0145	CDS	dksA		RNA polymerase-binding transcription factor DksA
1038	1706	941	946	b0146	CDS	sfsA		putative DNA-binding transcriptional regulator of maltose metabolism
71	132	111	88	b0147	CDS	thpR	3.1.4.58	RNA 2',3'-cyclic phosphodiesterase
391	1019	797	646	b0148	CDS	hrpB		RNA-dependent NTPase HrpB
1068	2468	1940	1624	b0149	CDS	mrcB	2.4.1.129	peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB
1.68226e-05	1.633e-05	1.16169e-05	0.00200155	b0149	CDS	mrcB		PBP1Bgamma
3064	6276	3730	3296	b0150	CDS	fhuA		ferrichrome outer membrane transporter/phage receptor
274	626	443	388	b0151	CDS	fhuC	7.2.2.16	iron(III) hydroxamate ABC transporter ATP binding subunit
210	466	316	261	b0152	CDS	fhuD	7.2.2.16	iron(III) hydroxamate ABC transporter periplasmic binding protein
313	538	543	508	b0153	CDS	fhuB	7.2.2.16	iron(III) hydroxamate ABC transporter membrane subunit
1528	3214	2665	2120	b0154	CDS	hemL	5.4.3.8	glutamate-1-semialdehyde 2,1-aminomutase
5	3	2	6	b4765	CDS	yadX		protein YadX
705	1178	822	797	b0155	CDS	clcA		chloride:H(+) antiporter ClcA
4	10	10	2	b4728	CDS	yadW		protein YadW
475	734	511	458	b0156	CDS	erpA		iron-sulfur cluster insertion protein ErpA
105	201	151	125	b0157	CDS	yadS		PF03458 family protein YadS
153	318	280	259	b0158	CDS	btuF	7.6.2.8	vitamin B12 ABC transporter periplasmic binding protein
1115	2873	2108	1721	b0159	CDS	mtn	3.2.2.9	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
450	963	478	372	b0160	CDS	dgt	3.1.5.1	dGTP triphosphohydrolase
1108	2987	1625	1442	b0161	CDS	degP	3.4.21.107	periplasmic serine endoprotease DegP
86	264	113	101	b0162	CDS	cdaR		DNA-binding transcriptional activator CdaR
1251	3184	1343	1350	b0163	CDS	yaeH		DUF3461 domain-containing protein YaeH
73	135	111	108	b0164	CDS	yaeI		phosphodiesterase YaeI
3116	8250	4901	4265	b0166	CDS	dapD	2.3.1.117	tetrahydrodipicolinate succinylase
624	1300	1143	951	b0167	CDS	glnD	2.7.7.59	PII uridylyltransferase/uridylyl removing enzyme
1860	4547	3027	2707	b0168	CDS	map	3.4.11.18	methionine aminopeptidase
17871	47394	26827	22615	b0169	CDS	rpsB		30S ribosomal subunit protein S2
7113	19507	13061	10936	b0170	CDS	tsf		protein chain elongation factor EF-Ts
1485	3329	2138	1823	b0171	CDS	pyrH	2.7.4.22	UMP kinase
3430	7702	4831	4210	b0172	CDS	frr		ribosome-recycling factor
614	1231	936	758	b0173	CDS	dxr	1.1.1.267	1-deoxy-D-xylulose 5-phosphate reductoisomerase
1785	3722	2192	2006	b0174	CDS	uppS	2.5.1.31	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]
1030	2244	1483	1231	b0175	CDS	cdsA	2.7.7.41	CDP-diglyceride synthetase
2823	5983	3918	3512	b0176	CDS	rseP		intramembrane zinc metalloprotease RseP
9251	21690	17510	15389	b0177	CDS	bamA		outer membrane protein assembly factor BamA
2569	6891	5296	4932	b0178	CDS	skp		periplasmic chaperone Skp
3492	8480	6773	5813	b0179	CDS	lpxD	2.3.1.191	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
1379	3411	2305	2255	b0180	CDS	fabZ	4.2.1.59	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase
1420	4102	3055	2943	b0181	CDS	lpxA	2.3.1.129	acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase
832	1792	1437	1192	b0182	CDS	lpxB	2.4.1.182	lipid A disaccharide synthase
293	646	672	458	b0183	CDS	rnhB	3.1.26.4	RNase HII
2899	6880	5635	4647	b0184	CDS	dnaE	2.7.7.7	DNA polymerase III subunit alpha
1830	4714	3139	2517	b0185	CDS	accA	2.1.3.15	acetyl-CoA carboxyltransferase subunit alpha
889	1669	1436	1261	b0186	CDS	ldcC	4.1.1.18	lysine decarboxylase 2
131	328	243	213	b0187	CDS	yaeR		VOC domain-containing protein YaeR
291	635	406	309	b0188	CDS	tilS	6.3.4.19	tRNA(Ile)-lysidine synthetase
213	437	284	259	b0189	CDS	rof		modulator of Rho-dependent transcription termination
282	586	274	294	b4406	CDS	yaeP		UPF0253 family protein YaeP
205	433	226	237	b0190	CDS	yaeQ		uncharacterized protein YaeQ
104	343	184	185	b0191	CDS	arfB	3.1.1.29	peptidyl-tRNA hydrolase, ribosome rescue factor
403	1110	663	608	b0192	CDS	nlpE		sensor lipoprotein NlpE
102	211	152	150	b0193	CDS	yaeF		peptidase C92 family protein YaeF
2744	8121	5659	4455	b0194	CDS	proS	6.1.1.15	proline--tRNA ligase
225	482	501	393	b0195	CDS	trmO		tRNA m(6)t(6)A37 methyltransferase
424	1019	779	694	b0196	CDS	rcsF		sensor lipoprotein RcsF
4316	12113	5944	5063	b0197	CDS	metQ	7.4.2.11	L-methionine/D-methionine ABC transporter membrane anchored binding protein
373	982	432	304	b0198	CDS	metI	7.4.2.11	L-methionine/D-methionine ABC transporter membrane subunit
285	783	171	100	b0199	CDS	metN	7.4.2.11	L-methionine/D-methionine ABC transporter ATP binding subunit
564	1165	840	837	b0200	CDS	gmhB	3.1.3.82	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
3011.99	2992.45	2860.05	1213.81	b0201	rRNA	rrsH		16S ribosomal RNA
309.667	414.667	164.667	92	b0202	tRNA	ileV		tRNA-Ile
138	172	74.6667	42.6667	b0203	tRNA	alaV		tRNA-Ala
6821.15	6188.91	5553.66	2073.11	b0204	rRNA	rrlH		23S ribosomal RNA
2369.5	4855.15	2437.93	1824.07	b0205	rRNA	rrfH		5S ribosomal RNA
101.333	190	116.667	101	b0206	tRNA	aspU		tRNA-Asp
96	216	165	137	b0207	CDS	dkgB	1.1.1.346	methylglyoxal reductase DkgB
108	281	120	114	b0208	CDS	yafC		LysR family transcriptional regulator YafC
757	1697	1004	849	b0209	CDS	yafD		endonuclease/exonuclease/phosphatase domain-containing protein YafD
193	470	351	283	b0210	CDS	yafE		putative S-adenosylmethionine-dependent methyltransferase
3577	7946	4229	3894	b0211	CDS	mltD		membrane-bound lytic murein transglycosylase D
497	1028	529	570	b0212	CDS	gloB	3.1.2.6	hydroxyacylglutathione hydrolase GloB
236	597	319	245	b0213	CDS	yafS		putative S-adenosyl-L-methionine-dependent methyltransferase
220	627	364	308	b0214	CDS	rnhA	3.1.26.4	ribonuclease HI
511	1024	472	351	b0215	CDS	dnaQ		DNA polymerase III subunit epsilon
101.333	190	116.667	101	b0216	tRNA	aspV		tRNA-Asp
28	37	25	16	b0217	CDS	yafT		lipoprotein YafT
13	2	1	2	b4586	CDS	ykfM		uncharacterized protein YkfM
304	691	402	318	b0219	CDS	yafV	3.5.1.111	2-oxoglutaramate amidase
1693	3083	880	823	b0220	CDS	ivy		periplasmic chaperone, inhibitor of vertebrate C-type lysozyme
252	563	332	282	b0221	CDS	fadE	1.3.8.8	acyl-CoA dehydrogenase
611	1489	890	808	b0222	CDS	gmhA	5.3.1.28	D-sedoheptulose 7-phosphate isomerase
381	1045	657	564	b0223	CDS	yafJ		putative glutamine amidotransferase YafJ
1244	3065	1731	1518	b0224	CDS	ldtF		L,D-transpeptidase domain-containing protein LdtF
370	845	399	317	b0225	CDS	yafQ		ribosome-dependent mRNA interferase toxin YafQ
656	1480	649	558	b0226	CDS	dinJ		antitoxin/DNA-binding transcriptional repressor DinJ
23	43	33	27	b0227	CDS	yafL		NlpC/P60 family protein YafL
42	100	32	27	b0228	CDS	rayT		REP-associated tyrosine transposase
99	177	736	659	b0231	CDS	dinB	2.7.7.7	DNA polymerase IV
38	120	166	126	b0232	CDS	yafN		antitoxin YafN
47	94	138	86	b0233	CDS	yafO		ribosome-dependent mRNA interferase toxin YafO
36	63	88	76	b0234	CDS	yafP		putative acyltransferase with acyl-CoA N-acyltransferase domain
2781	7506	4652	3837	b0237	CDS	pepD	3.4.13.18	peptidase D
301	401	123	101	b0238	CDS	gpt	2.4.2.22	xanthine-guanine phsophoribosyltransferase
354	907	726	533	b0239	CDS	frsA		fermentation-respiration switch protein
738	741	436	501	b0240	CDS	crl		RNA polymerase holoenzyme assembly factor Crl
77.6669	115.887	81.593	56.6824	b4710	CDS	insB9		IS1 transposase B
33.7269	49.0718	29.9884	33.8179	b4709	CDS	insA9		IS1 repressor TnpA
42	61	31	37	b0241	CDS	phoE		outer membrane porin PhoE
979	2160	1191	864	b0242	CDS	proB	2.7.2.11	glutamate 5-kinase
1107	2332	1530	1265	b0243	CDS	proA	1.2.1.41	glutamate-5-semialdehyde dehydrogenase
42	29	22	24	b0244	tRNA	thrW		tRNA-Thr
51	98	53	50	b0245	CDS	ykfI		CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system
16	27	19	13	b0246	CDS	yafW		antitoxin of the YkfI-YafW toxin-antitoxin pair
1	6	4	4	b4504	CDS	ykfH		DUF987 domain-containing protein YkfH
13	26.7688	17	21	b0247	CDS	ykfG		CP4-6 prophage; RadC-like JAB domain-containing protein YkfG
57	81	52	61	b0248	CDS	yafX		CP4-6 prophage; protein YafX
34	82	50	42	b0249	CDS	ykfF		CP4-6 prophage; protein YkfF
150	302	252	211	b0250	CDS	ykfB		CP4-6 prophage; protein YkfB
25	76	25	22	b0251	CDS	yafY		CP4-6 prophage; inner membrane lipoprotein YafY
33	43	39	36	b0252	CDS	yafZ		CP4-6 prophage; DUF932 domain-containing protein YafZ
150	380	223	185	b0253	CDS	ykfA		CP4-6 prophage; putative GTP-binding protein YkfA
94	141	101	70	b0254	CDS	perR		CP4-6 prophage; putative transcriptional regulator PerR
148.425	354.829	226.612	243.578	b4587	CDS	insN		CP4-6 prophage; IS911A regulator fragment
382.585	655.487	389.392	432.756	b0256	CDS	insI1		IS30 transposase
164	398	324	224	b0258	CDS	ykfC		CP4-6 prophage; PF00078 domain-containing protein YkfC
302.241	789.619	494.116	403.426	b0259	CDS	insH1		CP4-6 prophage; IS5 transposase and trans-activator
57	123	49	56	b0260	CDS	mmuP		CP4-6 prophage; S-methyl-L-methionine transporter
107	247	117	118	b0261	CDS	mmuM	2.1.1.10	CP4-6 prophage; homocysteine S-methyltransferase
26	46	32	33	b0262	CDS	afuC		CP4-6 prophage; ABC transporter ATP-binding protein AfuC
38.2716	69.6949	24.4926	23.4244	b0264	CDS	insB2		IS1 protein InsB
9.46291	61.8673	22.5252	18.5506	b0265	CDS	insA2		IS1 protein InsA
92	258	105	99	b0266	CDS	yagB		CP4-6 prophage; orphan antitoxin YagB
13	16	8	9	b0267	CDS	yagA		CP4-6 prophage; integrase core domain-containing protein YagA
11	29	16	10	b0268	CDS	yagE	4.1.2.28	CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase
38	49	61	39	b0269	CDS	yagF	4.2.1.82	CP4-6 prophage; D-xylonate dehydratase
15	36	26	19	b0270	CDS	yagG		CP4-6 prophage; putative D-xylonate transporter YagG
35	67	107	83	b0271	CDS	yagH		CP4-6 prophage; putative xylosidase/arabinosidase
146	365	313	192	b0272	CDS	xynR		CP4-6 prophage; DNA-binding transcriptional repressor XynR
1037.06	2335.4	1229.72	796.539	b0273	CDS	argF	2.1.3.3	CP4-6 prophage; ornithine carbamoyltransferase ArgF
4	0	1	1	b4766	CDS	argL		putative translational regulatory protein ArgL
2.6366	2.49191	4.74786	3.8416	b4688	CDS	ykgS		CP4-6 prophage; protein YkgS
38.2716	69.6949	24.4926	23.4244	b0274	CDS	insB3		IS1 protein InsB
9.46291	61.8673	22.5252	18.5506	b0275	CDS	insA3		IS1 protein InsA
250	390	139	141	b0276	CDS	yagJ		CP4-6 prophage; protein YagJ
106	216	45	50	b0277	CDS	yagK		CP4-6 prophage; uncharacterized protein YagK
80	97	35	42	b0278	CDS	yagL		CP4-6 prophage; resolvase-like catalytic domain-containing protein YagL
24	29	15	18	b0279	CDS	yagM		CP4-6 prophage; protein YagM
2	14	5	10	b4729	CDS	ykgV		CP4-6 prophage; protein YkgV
288	578	299	352	b0280	CDS	yagN		CP4-6 prophage; protein YagN
800	1503	591	567	b0281	CDS	intF		CP4-6 prophage; putative phage integrase
63	121	74	55	b0282	CDS	yagP		putative LysR family substrate binding domain-containing protein YagP
76	151	140	131	b0283	CDS	paoD		molybdenum cofactor insertion chaperone PaoD
317	399	476	342	b0284	CDS	paoC	1.2.99.6	aldehyde dehydrogenase: molybdenum cofactor-binding subunit
97	129	118	109	b0285	CDS	paoB	1.2.99.6	aldehyde dehydrogenase, FAD-binding subunit
103	180	114	87	b0286	CDS	paoA	1.2.99.6	aldehyde dehydrogenase, Fe-S subunit
508	971	403	285	b0287	CDS	yagU		inner membrane protein that contributes to acid resistance
56	76	22	20	b0288	CDS	ykgJ		putative zinc- or iron-chelating domain-containing protein YkgJ
62	136	70	53	b0289	CDS	ecpE		putative fimbrial chaperone EcpE
107	265	157	155	b0290	CDS	ecpD		fimbrial adhesin EcpD
67	132	74	70	b0291	CDS	ecpC		putative fimbrial usher protein EcpC
12	13	6	6	b0292	CDS	ecpB		putative fimbrial chaperone EcpB
138	254	114	87	b0293	CDS	ecpA		common pilus major subunit
7	19	6	7	b0294	CDS	ecpR		DNA-binding transcriptional dual regulator MatA
22	28	11	22	b0295	CDS	ykgL		uncharacterized protein YkgL
2	3	2	6	b4506	CDS	ykgO		50S ribosomal subunit protein L36B
18	29	7	6	b0296	CDS	ykgM		50S ribosomal subunit protein L31B
2	0	0	0	b4671	CDS	ykgR		putative membrane protein YkgR
28.2	77.2	42.6	35.6	b0298	CDS	insE1		IS3 element protein InsE
62.2	134.6	88.2	70.4	b0299	CDS	insF1		IS3 element protein InsF
17	34	16	19	b0301	CDS	rclC		reactive chlorine species resistance protein C
9	17	7	6	b0303	CDS	rclB		DUF1471 domain-containing protein RclB
186	310	173	134	b0304	CDS	rclA		cupric reductase RclA
15	32	11	3	b0305	CDS	rclR		DNA-binding transcriptional activator RclR
10	24	7	9	b0306	CDS	ykgE		putative lactate utilization oxidoreductase YkgE
81	182	113	87	b0307	CDS	ykgF		putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain
39	64	38	32	b0308	CDS	ykgG		DUF162 domain-containing lactate utilization protein YkgG
31	26	10	13	b0310	CDS	ykgH		uncharacterized protein YkgH
297	577	477	399	b0311	CDS	betA	1.1.99.1	choline dehydrogenase
422	705	566	438	b0312	CDS	betB	1.2.1.8	betaine aldehyde dehydrogenase
175	399	226	167	b0313	CDS	betI		DNA-binding transcriptional repressor BetI
517	1272	493	423	b0314	CDS	betT		choline:H(+) symporter
6	3	0	2	b4730	CDS	yahV		protein YahV
148	335	77	51	b0315	CDS	pdeL	3.1.4.52	DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL
121	239	111	82	b0316	CDS	yahB		putative LysR-type DNA-binding transcriptional regulator YahB
2	16	2	2	b0317	CDS	yahC		uncharacterized protein YahC
49	111	33	40	b0318	CDS	yahD		ankyrin repeat-containing protein YahD
7	16	9	5	b0319	CDS	yahE		DUF2877 domain-containing protein YahE
22	26	12	15	b0320	CDS	yahF		putative acyl-CoA synthetase YahF
48	106	49	38	b0321	CDS	yahG		DUF1116 domain-containing protein YahG
220	427	321	345	b0322	CDS	yahH		putative uncharacterized protein YahH
13	16	21	21	b0323	CDS	yahI		carbamate kinase-like protein YahI
